Geoid,Sec_neigh
170314805001,"AVALON PARK,CALUMET HEIGHTS"
170317102005,AUBURN GRESHAM
170312505004,"MONTCLARE, GALEWOOD"
170312508002,AUSTIN
170317203001,BEVERLY
170310311002,UPTOWN
170318311004,"IRVING PARK,AVONDALE"
170316711001,ENGLEWOOD
170314204001,WOODLAWN
170314603024,SOUTH CHICAGO
170311708002,DUNNING
170313807001,BRONZEVILLE
170310502003,NORTH CENTER
170315305013,WEST PULLMAN
170315205001,SOUTHEAST SIDE
170318429003,"LITTLE ITALY, UIC"
170318368002,GARFIELD PARK
170316810004,ENGLEWOOD
170311708001,DUNNING
170315607001,MIDWAY AIRPORT
170316713001,ENGLEWOOD
170317005016,ASHBURN
170312832001,"LITTLE ITALY, UIC"
170315102002,SOUTHEAST SIDE
170316611005,"MARQUETTE PARK,GAGE PARK"
170318404002,"BRIGHTON PARK,MCKINLEY PARK"
170318366002,HUMBOLDT PARK
170311611001,"IRVING PARK,AVONDALE"
170311408005,"NORTH PARK,ALBANY PARK"
170314804007,"AVALON PARK,CALUMET HEIGHTS"
170310402012,LINCOLN SQUARE
170314804004,"AVALON PARK,CALUMET HEIGHTS"
170314804006,"AVALON PARK,CALUMET HEIGHTS"
170314804005,"AVALON PARK,CALUMET HEIGHTS"
170311604002,"IRVING PARK,AVONDALE"
170318380001,UNITED CENTER
170315802002,"BRIGHTON PARK,MCKINLEY PARK"
170318403003,"BRIGHTON PARK,MCKINLEY PARK"
170316503013,WEST LAWN
170316503014,WEST LAWN
170314911002,"WASHINGTON HEIGHTS,ROSELAND"
170311505013,PORTAGE PARK
170316112002,BACK OF THE YARDS
170316805002,ENGLEWOOD
170314911003,"WASHINGTON HEIGHTS,ROSELAND"
170316806002,ENGLEWOOD
170316504004,WEST LAWN
170316610001,"MARQUETTE PARK,GAGE PARK"
170311602003,"IRVING PARK,AVONDALE"
170314402023,"CHATHAM,BURNSIDE"
170316911001,"SOUTH SHORE, GRAND CROSSING"
170314403003,"CHATHAM,BURNSIDE"
170314004001,WASHINGTON PARK
170312518002,AUSTIN
170311913011,"BELMONT CRAGIN,HERMOSA"
170317003022,ASHBURN
170311610002,"IRVING PARK,AVONDALE"
170314403001,"CHATHAM,BURNSIDE"
170311610001,"IRVING PARK,AVONDALE"
170312002001,"BELMONT CRAIGIN,HERMOSA"
170311704003,DUNNING
170312105012,"IRVING PARK,AVONDALE"
170314402021,"CHATHAM,BURNSIDE"
