Survey,State,6-Digit,County,Place,MSA/,PMSA,Ccity,Zip,Region,Division,Source,,Place,,1-unit,,,2-units,,,3-4 units,,,5+ units
Date,Code,ID,Code,Code,Cmsa,Code,Code,Code,Code,,,,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value
 
200001,04,041000,021,0041,6200,9999, ,85222      ,4,8,5,,Casa Grande,11,11,999163,0,0,0,0,0,0,1,16,748436
200001,04,045000,013,0044,6200,9999, ,85331      ,4,8,1,,Cave Creek town,11,11,3016643,0,0,0,0,0,0,0,0,0
200001,04,049000,013,0050,6200,9999, ,85225      ,4,8,4,,Chandler,125,125,17375738,0,0,0,0,0,0,0,0,0
200001,04,065000,003,    ,9999,9999, ,85603      ,4,8,5,,Cochise County Unincorporated Area,13,13,1125834,0,0,0,0,0,0,0,0,0
200001,04,069000,005,    ,2620,9999, ,86001      ,4,8,1,,Coconino County Unincorporated Area,27,27,5151403,0,0,0,0,0,0,0,0,0
200001,04,073000,015,0068,4120,9999, ,86021      ,4,8,5,,Colorado City town,1,1,108313,0,0,0,0,0,0,0,0,0
200001,04,077000,021,0070,6200,9999, ,85228      ,4,8,1,,Coolidge,7,7,605531,0,0,0,0,0,0,0,0,0
200001,04,085000,003,0080,9999,9999, ,85607      ,4,8,1,,Douglas,0,0,0,0,0,0,0,0,0,0,0,0
200001,04,097000,013,0100,6200,9999, ,85335      ,4,8,5,,El Mirage,3,3,203127,0,0,0,0,0,0,0,0,0
200001,04,101000,021,0105,6200,9999, ,85231      ,4,8,1,,Eloy,5,5,410079,0,0,0,0,0,0,0,0,0
200001,04,105000,005,0115,2620,9999,1,86001      ,4,8,1,,Flagstaff,11,11,1682471,0,0,0,0,0,0,0,0,0
200001,04,109000,021,0120,6200,9999, ,85232      ,4,8,5,,Florence town,3,3,140450,0,0,0,0,0,0,1,7,319313
200001,04,113000,013,0124,6200,9999, ,85269      ,4,8,4,,Fountain Hills town,21,21,2919124,0,0,0,1,4,319410,3,26,1562508
200001,04,121000,013,0129,6200,9999, ,85337      ,4,8,5,,Gila Bend town,0,0,0,0,0,0,0,0,0,0,0,0
200001,04,125000,007,    ,9999,9999, ,85501      ,4,8,1,,Gila County Unincorporated Area,14,14,1389441,0,0,0,0,0,0,0,0,0
200001,04,129000,013,0135,6200,9999, ,85296      ,4,8,5,,Gilbert town,235,235,29847308,0,0,0,0,0,0,0,0,0
200001,04,133000,013,0140,6200,9999, ,85301      ,4,8,1,,Glendale,77,77,9744037,0,0,0,0,0,0,16,236,9962013
200001,04,141000,013,0150,6200,9999, ,85338      ,4,8,1,,Goodyear,74,74,11013963,0,0,0,0,0,0,0,0,0
200001,04,153000,013,0158,6200,9999, ,85283      ,4,8,5,,Guadalupe town,2,2,129482,0,0,0,0,0,0,0,0,0
200001,04,157000,007,0160,9999,9999, ,85235      ,4,8,5,,Hayden town,0,0,0,0,0,0,0,0,0,0,0,0
200001,04,181000,015,0185,4120,9999, ,86401      ,4,8,1,,Kingman,7,7,530112,0,0,0,0,0,0,0,0,0
200001,04,189000,015,0188,4120,9999, ,86403      ,4,8,1,,Lake Havasu City,50,50,4678454,1,2,104485,0,0,0,0,0,0
200001,04,193000,013,0191,6200,9999, ,85340      ,4,8,1,,Litchfield Park,1,1,101664,0,0,0,0,0,0,0,0,0
200001,04,205000,013,    ,6200,9999, ,85003      ,4,8,4,,Maricopa County Unincorporated Area,233,233,32388376,0,0,0,0,0,0,0,0,0
200001,04,209000,013,0215,6200,9999, ,852111466  ,4,8,1,,Mesa,349,349,44193504,0,0,0,1,4,434118,0,0,0
200001,04,217000,015,    ,4120,9999, ,864027000  ,4,8,1,,Mohave County Unincorporated Area,37,37,2331920,0,0,0,0,0,0,0,0,0
200001,04,221000,017,    ,9999,9999, ,85901      ,4,8,1,,Navajo County Unincorporated Area,21,21,3650812,0,0,0,0,0,0,0,0,0
200001,04,225000,023,0235,9999,9999, ,85621      ,4,8,5,,Nogales,2,2,187271,0,0,0,0,0,0,1,5,156250
200001,04,229000,019,0238,8520,9999, ,85737      ,4,8,5,,Oro Valley town,66,66,9472990,0,0,0,0,0,0,0,0,0
200001,04,237000,013,0242,6200,9999, ,85253      ,4,8,1,,Paradise Valley town,7,7,4889413,0,0,0,0,0,0,0,0,0
200001,04,249000,007,0252,9999,9999, ,85541      ,4,8,1,,Payson town,15,15,1705534,0,0,0,0,0,0,0,0,0
200001,04,253000,013,0255,6200,9999, ,85345      ,4,8,1,,Peoria,242,242,26942238,0,0,0,0,0,0,46,290,14417794
200001,04,257000,013,0260,6200,9999, ,85003      ,4,8,1,,Phoenix,330,330,48405042,0,0,0,2,8,5800000,3,26,8700000
200001,04,261000,019,    ,8520,9999, ,85701      ,4,8,4,,Pima County Unincorporated Area,159,159,22101939,0,0,0,0,0,0,0,0,0
200001,04,269000,021,    ,6200,9999, ,85232      ,4,8,1,,Pinal County Unincorporated Area,128,128,14051273,2,4,225456,0,0,0,0,0,0
200001,04,277000,025,0280,9999,9999, ,86301      ,4,8,1,,Prescott,33,33,4673082,0,0,0,0,0,0,0,0,0
200001,04,281000,025,0282,9999,9999, ,86312      ,4,8,5,,Prescott Valley town,22,22,1622726,3,6,316118,0,0,0,0,0,0
200001,04,289000,013,0284,6200,9999, ,852429311  ,4,8,1,,Queen Creek town,1,1,214658,0,0,0,0,0,0,0,0,0
200001,04,297000,027,0299,9360,9999, ,85349      ,4,8,1,,San Luis,25,25,1246872,0,0,0,0,0,0,0,0,0
200001,04,301000,023,    ,9999,9999, ,85621      ,4,8,1,,Santa Cruz County Unincorporated Area,17,17,2638368,0,0,0,0,0,0,0,0,0
200001,04,305000,013,0305,6200,9999,1,85251      ,4,8,4,,Scottsdale,212,212,29469252,2,4,353268,4,16,1277640,3,18,1081736
200001,04,313000,025,0307,9999,9999, ,86336      ,4,8,1,,Sedona,3,3,886475,0,0,0,0,0,0,0,0,0
200001,04,321000,003,0315,9999,9999, ,85635      ,4,8,1,,Sierra Vista,20,20,1288614,0,0,0,0,0,0,0,0,0
200001,04,325000,017,0320,9999,9999, ,85937      ,4,8,1,,Snowflake town,1,1,93100,0,0,0,0,0,0,0,0,0
200001,04,345000,021,0355,6200,9999, ,85273      ,4,8,5,,Superior town,0,0,0,0,0,0,0,0,0,0,0,0
200001,04,349000,013,0356,6200,9999, ,85374      ,4,8,5,,Surprise,205,205,19223159,0,0,0,0,0,0,1,19,1113960
200001,04,357000,013,0360,6200,9999, ,85281      ,4,8,4,,Tempe,5,5,695030,0,0,0,0,0,0,0,0,0
200001,04,365000,013,0370,6200,9999, ,85353      ,4,8,1,,Tolleson,6,6,240000,0,0,0,0,0,0,0,0,0
