Survey,State,6-Digit,County,Place,MSA/,PMSA,Ccity,Zip,Region,Division,Source,,Place,,1-unit,,,2-units,,,3-4 units,,,5+ units
Date,Code,ID,Code,Code,Cmsa,Code,Code,Code,Code,,,,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value
 
200001,01,337000,099,1170,9999,9999, ,36461      ,3,6,1,,Monroeville,2,2,260500,0,0,0,0,0,0,0,0,0
200001,01,339000,101,1180,5240,9999,1,36192      ,3,6,1,,Montgomery,64,64,6646000,0,0,0,0,0,0,0,0,0
200001,01,341000,115,1182,1000,9999, ,35004      ,3,6,1,,Moody town,5,5,388770,0,0,0,0,0,0,0,0,0
200001,01,368000,125,1275,8600,9999, ,35476      ,3,6,1,,Northport,14,14,622469,0,0,0,0,0,0,0,0,0
200001,01,370000,087,1280,9999,9999, ,36866      ,3,6,1,,Notasulga town,0,0,0,0,0,0,0,0,0,0,0,0
200001,01,373000,127,1290,9999,9999, ,35579      ,3,6,1,,Oakman town,0,0,0,0,0,0,0,0,0,0,0,0
200001,01,378000,081,1310,0580,9999,1,36801      ,3,6,1,,Opelika,6,6,620600,0,0,0,0,0,0,0,0,0
200001,01,380000,003,1317,5160,9999, ,36561      ,3,6,1,,Orange Beach,11,11,1258270,0,0,0,0,0,0,1,87,9200000
200001,01,383000,015,1325,0450,9999, ,36203      ,3,6,5,,Oxford,7,7,672955,0,0,0,0,0,0,1,6,274814
200001,01,385000,045,1330,2180,9999, ,36361      ,3,6,1,,Ozark,1,1,128580,0,0,0,0,0,0,0,0,0
200001,01,388000,117,1347,1000,9999, ,35124      ,3,6,1,,Pelham,35,35,4990710,0,0,0,0,0,0,0,0,0
200001,01,389000,115,1350,1000,9999, ,35125      ,3,6,1,,Pell City,5,5,478800,0,0,0,0,0,0,0,0,0
200001,01,394000,113,1365,1800,9999, ,36867      ,3,6,1,,Phenix City,2,2,253000,1,2,90000,0,0,0,0,0,0
200001,01,406000,073,1405,1000,9999, ,35127      ,3,6,5,,Pleasant Grove,7,7,585530,0,0,0,0,0,0,0,0,0
200001,01,409000,001,1415,5240,9999, ,360670020  ,3,6,1,,Prattville,13,13,690525,0,0,0,0,0,0,0,0,0
200001,01,411000,103,1418,2030,9999, ,35603      ,3,6,5,,Priceville town,2,2,161468,0,0,0,0,0,0,0,0,0
200001,01,421000,055,1460,2880,9999, ,35954      ,3,6,5,,Reece City town,0,0,0,0,0,0,0,0,0,0,0,0
200001,01,440000,097,1530,5160,9999, ,36571      ,3,6,1,,Saraland,7,7,766285,0,0,0,0,0,0,0,0,0
200001,01,444000,097,1535,5160,9999, ,36572      ,3,6,1,,Satsuma,8,8,850000,0,0,0,0,0,0,0,0,0
200001,01,445000,071,1540,9999,9999, ,35768      ,3,6,1,,Scottsboro,3,3,280000,0,0,0,0,0,0,0,0,0
200001,01,449000,117,    ,1000,9999, ,35124      ,3,6,5,,Shelby County Unincorporated Area,64,64,7705496,0,0,0,0,0,0,0,0,0
200001,01,461000,055,1595,2880,9999, ,35907      ,3,6,5,,Southside,5,5,511620,0,0,0,0,0,0,0,0,0
200001,01,469000,127,1630,9999,9999, ,35148      ,3,6,5,,Sumiton,0,0,0,0,0,0,0,0,0,0,0,0
200001,01,493000,109,1710,9999,9999, ,36081      ,3,6,1,,Troy,4,4,644000,0,0,0,0,0,0,0,0,0
200001,01,494000,073,1715,1000,9999, ,35173      ,3,6,1,,Trussville,20,20,3021200,0,0,0,0,0,0,0,0,0
200001,01,495000,125,1720,8600,9999,1,35401      ,3,6,4,,Tuscaloosa,38,38,4266606,4,8,464774,0,0,0,0,0,0
200001,01,507000,073,1755,1000,9999, ,35216      ,3,6,1,,Vestavia Hills,9,9,1870195,0,0,0,0,0,0,0,0,0
200001,01,541000,119,1850,9999,9999, ,369250037  ,3,6,5,,York,1,1,30000,0,0,0,0,0,0,0,0,0
200001,05,005000,033,0025,2720,9999, ,72921      ,3,7,1,,Alma,0,0,0,0,0,0,0,0,0,0,0,0
200001,05,008000,069,0040,6240,9999, ,72004      ,3,7,5,,Altheimer,0,0,0,0,0,0,0,0,0,0,0,0
200001,05,013000,019,0065,9999,9999, ,71923      ,3,7,1,,Arkadelphia,0,0,0,0,0,0,0,0,0,0,0,0
200001,05,016000,135,0080,9999,9999, ,72513      ,3,7,5,,Ash Flat,0,0,0,0,0,0,0,0,0,0,0,0
200001,05,019000,115,0090,9999,9999, ,72823      ,3,7,5,,Atkins,0,0,0,0,0,0,0,0,0,0,0,0
200001,05,028000,063,0125,9999,9999, ,72501      ,3,7,1,,Batesville,2,2,173000,0,0,0,0,0,0,0,0,0
200001,05,034000,145,0150,9999,9999, ,72012      ,3,7,1,,Beebe,1,1,65000,0,0,0,0,0,0,0,0,0
200001,05,039000,125,0170,4400,9999, ,72018      ,3,7,1,,Benton,10,10,1405175,0,0,0,0,0,0,0,0,0
200001,05,041000,007,0175,2580,9999, ,72712      ,3,7,1,,Bentonville,36,36,5191000,0,0,0,0,0,0,0,0,0
200001,05,057000,093,0230,9999,9999, ,72315      ,3,7,1,,Blytheville,1,1,325000,0,0,0,0,0,0,0,0,0
