Survey,State,6-Digit,County,Place,MSA/,PMSA,Ccity,Zip,Region,Division,Source,,Place,,1-unit,,,2-units,,,3-4 units,,,5+ units
Date,Code,ID,Code,Code,Cmsa,Code,Code,Code,Code,,,,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value
 
200001,17,256600,031,1845,1602,1600,1,60201      ,2,3,1,,Evanston,0,0,0,0,0,0,0,0,0,0,0,0
200001,17,257200,157,1850,9999,9999, ,62242      ,2,3,5,,Evansville village,0,0,0,0,0,0,0,0,0,0,0,0
200001,17,257500,031,1855,1602,1600, ,60505      ,2,3,1,,Evergreen Park village,1,1,92000,0,0,0,0,0,0,0,0,0
200001,17,261100,163,1893,7040,9999, ,62208      ,2,3,1,,Fairview Heights,5,5,650586,0,0,0,0,0,0,0,0,0
200001,17,266500,163,1925,7040,9999, ,622585015  ,2,3,1,,Fayetteville village,0,0,0,0,0,0,0,0,0,0,0,0
200001,17,273700,031,1985,1602,1600, ,60422      ,2,3,1,,Flossmoor village,4,4,997000,0,0,0,0,0,0,0,0,0
200001,17,275200,031,1993,1602,1600, ,60411      ,2,3,1,,Ford Heights village,0,0,0,0,0,0,0,0,0,0,0,0
200001,17,276100,031,2005,1602,1600, ,60130      ,2,3,1,,Forest Park village,0,0,0,0,0,0,0,0,0,0,0,0
200001,17,276400,031,2010,1602,1600, ,60402      ,2,3,1,,Forest View village,0,0,0,0,0,0,0,0,0,0,0,0
200001,17,280300,097,2030,1602,1600, ,60020      ,2,3,1,,Fox Lake village,8,8,720000,0,0,0,0,0,0,0,0,0
200001,17,280900,111,2035,1602,1600, ,60021      ,2,3,1,,Fox River Grove village,2,2,380000,0,0,0,0,0,0,0,0,0
200001,17,281500,111,2037,1602,1600, ,60010      ,2,3,5,,Fox River Valley Gardens village,3,3,376765,0,0,0,0,0,0,0,0,0
200001,17,283300,197,2040,1602,1600, ,60423      ,2,3,1,,Frankfort village,8,8,2427242,0,0,0,0,0,0,0,0,0
200001,17,283900,103,2050,9999,9999, ,61031      ,2,3,1,,Franklin Grove village,0,0,0,0,0,0,0,0,0,0,0,0
200001,17,284200,031,2055,1602,1600, ,60131      ,2,3,1,,Franklin Park village,0,0,0,0,0,0,0,0,0,0,0,0
200001,17,285700,163,2060,7040,9999, ,62243      ,2,3,1,,Freeburg village,1,1,175000,0,0,0,0,0,0,0,0,0
200001,17,287200,177,2070,9999,9999, ,61032      ,2,3,1,,Freeport,1,1,117040,0,0,0,0,0,0,0,0,0
200001,17,293800,063,2115,1602,1600, ,60424      ,2,3,1,,Gardner village,0,0,0,0,0,0,0,0,0,0,0,0
200001,17,295600,073,2130,1960,9999, ,61254      ,2,3,1,,Geneseo,0,0,0,0,0,0,0,0,0,0,0,0
200001,17,296200,089,2135,1602,1600, ,60134      ,2,3,1,,Geneva,17,17,5178920,0,0,0,0,0,0,0,0,0
200001,17,296800,037,2140,1602,1600, ,60135      ,2,3,5,,Genoa,2,2,184350,0,0,0,0,0,0,0,0,0
200001,17,298600,203,2152,6120,9999, ,61548      ,2,3,1,,Germantown Hills village,2,2,240000,0,0,0,0,0,0,0,0,0
200001,17,300400,089,2170,1602,1600, ,60136      ,2,3,1,,Gilberts village,0,0,0,0,0,0,0,0,0,0,0,0
200001,17,303700,119,2205,7040,9999, ,620342704  ,2,3,1,,Glen Carbon village,3,3,491357,0,0,0,0,0,0,0,0,0
200001,17,304000,043,2220,1602,1600, ,60137      ,2,3,1,,Glen Ellyn village,0,0,0,0,0,0,0,0,0,0,0,0
200001,17,304300,031,2210,1602,1600, ,600221699  ,2,3,1,,Glencoe village,2,2,1025000,0,0,0,0,0,0,0,0,0
200001,17,304600,043,2217,1602,1600, ,60139      ,2,3,1,,Glendale Heights village,5,5,390000,0,0,0,0,0,0,0,0,0
200001,17,304900,031,2225,1602,1600, ,60025      ,2,3,5,,Glenview village,14,14,2804638,0,0,0,0,0,0,0,0,0
200001,17,305200,031,2230,1602,1600, ,60425      ,2,3,1,,Glenwood village,0,0,0,0,0,0,0,0,0,0,0,0
200001,17,305600,119,2235,7040,9999, ,62035      ,2,3,1,,Godfrey village,2,2,200000,0,0,0,0,0,0,0,0,0
200001,17,306100,197,2240,1602,1600, ,60407      ,2,3,5,,Godley village,1,1,74400,0,0,0,0,0,0,0,0,0
200001,17,307900,031,2260,1602,1600, ,600290231  ,2,3,5,,Golf village,0,0,0,0,0,0,0,0,0,0,0,0
200001,17,311200,083,2285,7040,9999, ,62037      ,2,3,1,,Grafton,0,0,0,0,0,0,0,0,0,0,0,0
200001,17,314500,119,2305,7040,9999,1,62040      ,2,3,1,,Granite City,2,2,75000,0,0,0,0,0,0,0,0,0
200001,17,315100,091,2315,1602,3740, ,60940      ,2,3,1,,Grant Park village,0,0,0,0,0,0,0,0,0,0,0,0
200001,17,316000,119,2310,7040,9999, ,62249      ,2,3,5,,Grantfork village,0,0,0,0,0,0,0,0,0,0,0,0
200001,17,316600,155,2320,9999,9999, ,61326      ,2,3,1,,Granville village,0,0,0,0,0,0,0,0,0,0,0,0
200001,17,317200,097,2330,1602,1600, ,60030      ,2,3,1,,Grayslake village,9,9,966940,0,0,0,0,0,0,0,0,0
200001,17,318400,097,2342,1602,1600, ,60048      ,2,3,1,,Green Oaks village,1,1,215987,0,0,0,0,0,0,0,0,0
200001,17,321700,129,2360,7880,9999, ,62642      ,2,3,1,,Greenview village,0,0,0,0,0,0,0,0,0,0,0,0
200001,17,325900,063,    ,1602,1600, ,60450      ,2,3,5,,Grundy County Unincorporated Area,4,4,596857,0,0,0,0,0,0,0,0,0
200001,17,326800,097,2385,1602,1600, ,60031      ,2,3,1,,Gurnee village,10,10,2041682,0,0,0,0,0,0,0,0,0
200001,17,328300,097,2390,1602,1600, ,60030      ,2,3,1,,Hainesville village,3,3,300000,0,0,0,0,0,0,0,0,0
200001,17,330100,119,2400,7040,9999, ,62046      ,2,3,1,,Hamel village,1,1,113000,0,0,0,0,0,0,0,0,0
200001,17,334600,031,2445,1602,1600, ,60103      ,2,3,1,,Hanover Park village,0,0,0,0,0,0,0,0,0,0,0,0
200001,17,340900,119,2465,7040,9999, ,62048      ,2,3,5,,Hartford village,0,0,0,0,0,0,0,0,0,0,0,0
200001,17,341800,111,2475,1602,1600, ,60033      ,2,3,1,,Harvard,4,4,485000,0,0,0,0,0,0,0,0,0
200001,17,343000,031,2490,1602,1600, ,60426      ,2,3,1,,Harvey,0,0,0,0,0,0,0,0,0,0,0,0
200001,17,343300,031,2495,1602,1600, ,60656      ,2,3,1,,Harwood Heights village,0,0,0,0,0,0,0,0,0,0,0,0
200001,17,344800,097,2505,1602,1600, ,60047      ,2,3,1,,Hawthorn Woods village,1,1,550000,0,0,0,0,0,0,0,0,0
200001,17,345400,031,2510,1602,1600, ,60429      ,2,3,1,,Hazel Crest village,1,1,238855,0,0,0,0,0,0,0,0,0
200001,17,346000,111,2515,1602,1600, ,60034      ,2,3,1,,Hebron village,0,0,0,0,0,0,0,0,0,0,0,0
200001,17,351100,091,2560,1602,3740, ,60941      ,2,3,5,,Herscher village,0,0,0,0,0,0,0,0,0,0,0,0
200001,17,352300,031,2580,1602,1600, ,60457      ,2,3,1,,Hickory Hills,0,0,0,0,0,0,0,0,0,0,0,0
200001,17,353500,119,2590,7040,9999, ,62249      ,2,3,5,,Highland,2,2,261877,1,2,151778,0,0,0,0,0,0
200001,17,353800,097,2595,1602,1600, ,60035      ,2,3,5,,Highland Park,4,4,1437975,0,0,0,0,0,0,0,0,0
200001,17,354400,097,2600,1602,1600, ,60040      ,2,3,5,,Highwood,0,0,0,0,0,0,0,0,0,0,0,0
200001,17,355900,031,2620,1602,1600, ,60162      ,2,3,1,,Hillside village,0,0,0,0,0,0,0,0,0,0,0,0
200001,17,356800,037,2630,1602,1600, ,60520      ,2,3,5,,Hinckley village,0,0,0,0,0,0,0,0,0,0,0,0
200001,17,357100,041,2635,9999,9999, ,61930      ,2,3,1,,Hindsboro village,0,0,0,0,0,0,0,0,0,0,0,0
200001,17,357700,043,2640,1602,1600, ,60521      ,2,3,1,,Hinsdale village,6,6,2285000,0,0,0,0,0,0,0,0,0
200001,17,358600,031,2645,1602,1600, ,60525      ,2,3,5,,Hodgkins village,0,0,0,0,0,0,0,0,0,0,0,0
200001,17,358900,031,2647,1602,1600, ,60196      ,2,3,1,,Hoffman Estates village,3,3,351600,0,0,0,0,0,0,0,0,0
200001,17,359500,027,2646,7040,9999, ,62250      ,2,3,1,,Hoffman village,0,0,0,0,0,0,0,0,0,0,0,0
200001,17,359800,111,2653,1602,1600, ,60050      ,2,3,1,,Holiday Hills village,0,0,0,0,0,0,0,0,0,0,0,0
200001,17,361600,031,2665,1602,1600, ,60456      ,2,3,1,,Hometown,0,0,0,0,0,0,0,0,0,0,0,0
200001,17,361900,031,2670,1602,1600, ,60430      ,2,3,1,,Homewood village,1,1,150000,0,0,0,0,0,0,0,0,0
200001,17,365500,091,2688,1602,3740, ,60944      ,2,3,5,,Hopkins Park village,0,0,0,0,0,0,0,0,0,0,0,0
200001,17,367600,027,2700,7040,9999, ,62252      ,2,3,1,,Huey village,0,0,0,0,0,0,0,0,0,0,0,0
200001,17,370000,111,2725,1602,1600, ,60142      ,2,3,5,,Huntley village,18,18,1516089,0,0,0,0,0,0,0,0,0
200001,17,373300,081,2750,9999,9999, ,62846      ,2,3,1,,Ina village,0,0,0,0,0,0,0,0,0,0,0,0
200001,17,374200,097,2755,1602,1600, ,60061      ,2,3,1,,Indian Creek village,0,0,0,0,0,0,0,0,0,0,0,0
200001,17,374800,031,2760,1602,1600, ,60525      ,2,3,1,,Indian Head Park village,0,0,0,0,0,0,0,0,0,0,0,0
200001,17,376900,031,2774,1602,1600, ,60067      ,2,3,1,,Inverness village,1,1,479322,0,0,0,0,0,0,0,0,0
200001,17,380200,091,2800,1602,3740, ,60901      ,2,3,1,,Irwin village,0,0,0,0,0,0,0,0,0,0,0,0
200001,17,381400,111,2805,1602,1600, ,60042      ,2,3,5,,Island Lake village,3,3,246977,0,0,0,0,0,0,0,0,0
