Survey,State,6-Digit,County,Place,MSA/,PMSA,Ccity,Zip,Region,Division,Source,,Place,,1-unit,,,2-units,,,3-4 units,,,5+ units
Date,Code,ID,Code,Code,Cmsa,Code,Code,Code,Code,,,,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value
 
200001,17,100300,075,0705,9999,9999, ,60918      ,2,3,5,,Buckley village,0,0,0,0,0,0,0,0,0,0,0,0
200001,17,101800,097,0725,1602,1600, ,60089      ,2,3,1,,Buffalo Grove village,1,1,255950,0,0,0,0,0,0,0,0,0
200001,17,103300,111,0729,1602,1600, ,60098      ,2,3,1,,Bull Valley village,0,0,0,0,0,0,0,0,0,0,0,0
200001,17,104800,031,0743,1602,1600, ,60459      ,2,3,1,,Burbank,0,0,0,0,0,0,0,0,0,1,10,198000
200001,17,106900,031,0755,1602,1600, ,60633      ,2,3,5,,Burnham village,1,1,87430,0,0,0,0,0,0,0,0,0
200001,17,108400,043,0759,1602,1600, ,60521      ,2,3,1,,Burr Ridge village,4,4,1759113,0,0,0,0,0,0,0,0,0
200001,17,113200,163,0785,7040,9999, ,62206      ,2,3,1,,Cahokia village,0,0,0,0,0,0,0,0,0,0,0,0
200001,17,114700,031,0800,1602,1600, ,60409      ,2,3,1,,Calumet City,0,0,0,0,0,0,0,0,0,0,0,0
200001,17,115000,031,0805,1602,1600, ,60827      ,2,3,1,,Calumet Park village,0,0,0,0,0,0,0,0,0,0,0,0
200001,17,118300,077,0830,9999,9999, ,62916      ,2,3,5,,Campbell Hill village,0,0,0,0,0,0,0,0,0,0,0,0
200001,17,121600,063,0870,1602,1600, ,60416      ,2,3,1,,Carbon Hill village,0,0,0,0,0,0,0,0,0,0,0,0
200001,17,123400,027,0880,7040,9999, ,62231      ,2,3,1,,Carlyle,0,0,0,0,0,0,0,0,0,0,0,0
200001,17,124900,043,0890,1602,1600, ,60188      ,2,3,1,,Carol Stream village,2,2,367326,0,0,0,0,0,0,0,0,0
200001,17,125200,089,0895,1602,1600, ,60110      ,2,3,1,,Carpentersville village,40,40,5258624,0,0,0,0,0,0,0,0,0
200001,17,126400,015,    ,9999,9999, ,61053      ,2,3,1,,Carroll County Unincorporated Area,4,4,438000,0,0,0,0,0,0,0,0,0
200001,17,129100,111,0920,1602,1600, ,60013      ,2,3,1,,Cary village,2,2,354714,0,0,0,0,0,0,0,0,0
200001,17,130600,163,0930,7040,9999, ,62232      ,2,3,1,,Caseyville village,0,0,0,0,0,0,0,0,0,0,0,0
200001,17,135700,163,0975,7040,9999, ,62207      ,2,3,1,,Centreville,0,0,0,0,0,0,0,0,0,0,0,0
200001,17,137800,019,0990,1400,9999,1,61820      ,2,3,1,,Champaign,4,4,575600,0,0,0,0,0,0,1,12,998000
200001,17,138400,019,    ,1400,9999, ,61803      ,2,3,1,,Champaign County Unincorporated Area,8,8,1139425,0,0,0,0,0,0,0,0,0
200001,17,140200,197,0997,1602,1600, ,60410      ,2,3,1,,Channahon village,5,5,666641,0,0,0,0,0,0,0,0,0
200001,17,140800,029,1010,9999,9999, ,61920      ,2,3,1,,Charleston,0,0,0,0,0,0,1,3,136620,0,0,0
200001,17,142000,167,1015,7880,9999, ,62629      ,2,3,5,,Chatham village,5,5,206783,0,0,0,0,0,0,0,0,0
200001,17,147700,031,1051,1602,1600,1,606025800  ,2,3,4,,Chicago,101,101,13278025,4,8,615144,20,61,4218374,14,160,8046718
200001,17,148300,031,1055,1602,1600, ,60411      ,2,3,1,,Chicago Heights,0,0,0,0,0,0,0,0,0,0,0,0
200001,17,148600,031,1060,1602,1600, ,60415      ,2,3,1,,Chicago Ridge village,0,0,0,0,0,0,0,0,0,0,0,0
200001,17,151600,031,1085,1602,1600, ,60804      ,2,3,1,,Cicero town,0,0,0,0,0,0,0,0,0,0,0,0
200001,17,154300,043,1115,1602,1600, ,60514      ,2,3,1,,Clarendon Hills village,4,4,1105000,0,0,0,0,0,0,0,0,0
200001,17,158500,075,1140,9999,9999, ,609270131  ,2,3,5,,Clifton village,0,0,0,0,0,0,0,0,0,0,0,0
200001,17,160600,063,1150,1602,1600, ,60416      ,2,3,1,,Coal City,1,1,80000,0,0,0,0,0,0,0,0,0
200001,17,165400,113,1190,1040,9999, ,61728      ,2,3,1,,Colfax village,0,0,0,0,0,0,0,0,0,0,0,0
200001,17,165700,119,1205,7040,9999, ,62234      ,2,3,5,,Collinsville,4,4,473001,0,0,0,0,0,0,0,0,0
200001,17,167800,133,1220,7040,9999, ,62236      ,2,3,5,,Columbia,4,4,500297,0,0,0,0,0,0,0,0,0
200001,17,171100,031,    ,1602,1600, ,60602      ,2,3,1,,Cook County Unincorporated Area,4,4,1445736,0,0,0,0,0,0,0,0,0
200001,17,174100,037,1255,1602,1600, ,601120106  ,2,3,1,,Cortland town,0,0,0,0,0,0,0,0,0,0,0,0
200001,17,176500,031,1270,1602,1600, ,60478      ,2,3,1,,Country Club Hills,2,2,298000,0,0,0,0,0,0,0,0,0
200001,17,176800,031,1272,1602,1600, ,60525      ,2,3,1,,Countryside,0,0,0,0,0,0,0,0,0,0,0,0
200001,17,179800,197,1295,1602,1600, ,60435      ,2,3,5,,Crest Hill,4,4,355763,1,2,166000,1,4,279170,1,5,277998
