"RegionID","RegionName","State","SizeRank","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03"
3101,"Los Angeles","CA",1,4.99984363761453,4.70219435736677,4.65647945113778,5,4.98366013071896,4.95247623811906,4.76303881876637,4.60751825195465,4.35066368205649,4.52173913043479,4.34328332251813,4.25667771128899,4.28571428571428,4.34782608695652,4.43431873749722,4.76568705321684,4.40528634361234,4.36681222707423,4.36174469787916,4.25531914893616,4.08081632653061,4.00801603206413,4.00055668680008,3.95703787450538,3.92997499106824,4.00667779632721,3.75942258883249,3.84763370527126,3.84763370527126,3.86100386100386,4.01606425702812,4.0016006402561,3.97846364883402,3.71747211895911,3.67749355235999,3.34883720930232,3.41880341880342,3.42007434944238,3.38327694538424,3.47222222222222,3.22690521965991,3.23232323232323,3.23624595469255,3.23101777059773,3.10679611650485,3.12597686777117,3.1501520394254,2.99087201398329,3.07282691140586,3.13316012329762,3.17965023847376,3.1981219445296,3.18254148670152,3.06088230280594,3.08944366955631,3.33444481493831,3.23404255319149,3.26884589726484,3.22872113306777,3.12556976744224,3.16700843016633,3.18942731277533,3.1979381443299,3.08641975308642,3.33889816360601,3.05790318130257,3.11804008908686,3.0327538643698,3.13479623824452,3.1286385169578,3.06122448979592,2.98953662182362,3.05584826132771,2.96803652968036,2.94550810014728,2.81081081081082,2.999805999612,2.86298568507157,2.94394570573591,2.97142857142857,3.1496062992126,3.04347826086957,2.98507462686567,2.81729826691907,2.77812504394425,2.82411721700987,2.77854959711031,2.77777854938315,2.89855072463768,2.881156613171,2.94117647058824
139,"Cook","IL",2,4.96198479391756,4.80961923847696,5,5.26731666769322,5.69715142428786,5.34521158129176,5.005005005005,4.77326968973747,4.71398305084746,4.68227424749164,4.78260869565217,4.76417341591234,4.81235169489546,5,5.26592943654555,5.66371681415929,5.26592943654555,5.04186762580054,4.76417341591234,4.74138775574182,4.78310389224522,4.63772509016786,4.76644423260247,4.92063492063493,4.89915386185926,4.96832277425808,5.12820512820513,5.88581518540318,5.0251256281407,5.00250125062531,4.83091787439613,4.44642063139173,4.37158469945356,4.299218047778,4.35161009573543,4.14878397711016,4.13584893594668,4.16840350145894,4.66977985323549,6.00000000000001,5.2895384414022,5.03413668543187,4.5475216007276,4.00320256204964,3.75565356166107,3.61881785283474,3.74987968719921,3.80954213158907,3.75380173243504,3.88175574798447,4.16840350145894,4.96506590450155,4.66666666666666,4.43478260869565,3.84615384615384,3.60100828231905,3.47826086956522,3.43434343434343,3.51185250219491,3.44827586206896,3.57142857142857,3.44827586206896,3.63636363636364,4.13793103448276,3.6949271546428,3.57142857142857,3.50877192982456,3.29896907216495,3.2258064516129,3.1578947368421,3.125,3.18906605922551,3.13479623824452,3.17331163547599,3.17460317460317,3.63636363636364,3.33444481493831,3.0659467964209,3.03030303030303,2.97687631753732,3.03854392974886,2.95610630038817,2.94363256784969,3.00337884818486,2.94204177699323,2.85877644368211,2.82131661442007,2.94464075382803,2.98350298350298,2.98507462686567,2.86532951289399
1090,"Harris","TX",3,4.18604651162791,4.15929203539823,4.16666666666666,4.4543429844098,4.34801513109265,4.36344779837808,4.04040404040404,4.0016006402561,3.84674565317741,3.75164147509673,3.63636363636364,3.84615384615384,3.86100386100386,3.97022332506204,4,4.34782608695652,4.1095890410959,4.00363967242948,3.77568134171908,3.70370370370371,3.67345064575559,3.58620689655172,3.57142857142857,3.63636363636364,3.70438970179663,3.76569037656904,3.7826481944129,3.7826481944129,3.70644922164566,3.35244225418218,3.33333333333333,3.2258064516129,3.36417157275021,3.22684737011939,3.34448160535117,3.33555703802535,3.38709677419354,3.27118089630356,3.33555703802535,3.52422645654896,3.52941176470588,3.29580434324268,3.2883537785855,3.2258064516129,3.13479623824452,3.125,3.12695434646654,3.125,3.125,3.23529411764706,2.94204177699323,3.26884589726484,3.33444481493831,3.125,3.05084745762711,3.26340326340326,3.03137155089828,3.14878892733564,2.99087201398329,3.06091527520099,3.10077519379846,3.02164148632095,3.03214069132808,3.10197751066305,3.09090909090909,3.11042461903492,3.06070740853349,2.94247468484741,2.94767888088124,2.89855072463768,2.85714285714286,2.9218407596786,2.8638292697158,2.93457400335732,2.85877644368211,2.9205574912892,2.93366451420688,2.92701000370508,2.79558861246474,2.79329608938548,2.72752070624411,2.74464204286366,2.70343336036767,2.78164116828929,2.85763277437762,2.87769784172662,2.77777777777778,2.91547619047619,2.85715102045481,2.85877644368211,2.78551532033426
2402,"Maricopa","AZ",4,5.26870389884089,5.01141496586339,5.01792114695341,5.49090909090909,5.2757793764988,5.1490514905149,5.18134715025906,4.96277915632755,4.8674907524465,4.78260869565217,4.6783464260714,4.44444444444444,4.17014178482068,4.16666666666666,4.10004100041,4.17014178482068,4.12802950474184,3.77777777777778,3.5438596491228,3.57142857142857,3.25017126360375,3.0654699167004,3.05777487693251,3.08919382504288,3.07692307692308,3.04554865424431,2.94204177699323,3.15111685852472,3.125,2.94204177699323,2.97999148573861,2.85795941697627,2.64550264550265,2.53807106598984,2.48632668144864,2.38095351474031,2.40038406144983,2.4390243902439,2.40862906201595,2.35820241570927,2.5,2.43947064394556,2.35295501746388,2.28390092947254,2.2271714922049,2.17485863418878,2.13219616204691,2.03389830508475,2.09790209790209,2.12765957446809,2.22222222222223,2.21739130434783,2.29885057471264,2.28765645936142,2.17485863418878,2.07432115941634,2.02020202020202,2,1.96135746606335,1.92837465564738,1.96133370692071,2.00418265725351,1.96463654223968,2.0020295737895,2.00992708641246,2.05187766163376,2.04498977505112,1.96431819362886,1.92307692307693,1.82142857142857,1.72786177105831,1.81706259268586,1.72881355932203,1.78643205215415,1.7467248908297,1.56298843388559,1.80984873035728,1.88934922711634,1.92381685263563,1.82468946087848,1.78571428571429,1.6858668165215,1.61200667037243,1.59339038064326,1.61766297843041,1.66666666666667,1.51561079114884,1.375,1.66666666666667,1.73485618777078,1.73913043478261
2841,"San Diego","CA",5,4.57754953511078,4.26439232409381,4.29184549356223,4.5475216007276,4.36681222707423,4.34820419166884,4.14719186644266,4.00698188541315,3.84615384615384,4.000008000016,3.86286908026038,3.79746835443038,3.86194005759223,3.90434451219512,3.95734549310507,3.9422176142378,4.00058675343516,3.72607435824185,3.84701696288685,3.70370713306534,3.53149033464976,3.41296928327645,3.45174751854452,3.37837837837838,3.44851370700358,3.41767554479419,3.21034731526332,3.63702503389662,3.32273893163823,3.49020874108389,3.33889816360601,3.23049596540222,3.29032258064517,3.24324324324324,3.12597686777117,3.03076230630034,2.85657056145675,2.89473684210526,2.85714285714286,2.88766794054188,2.73972602739726,2.87769784172662,2.85714285714286,2.8169014084507,2.80077821011673,2.81989836120087,2.82131661442007,2.66974416017798,2.66666666666666,2.71002710027101,2.77854959711031,2.71117561150184,2.88312680424276,2.85250678504555,2.69127516778523,3.03030762168517,3.02177221699228,2.94853963838665,2.92442514653352,2.83259587020649,2.78125439949504,2.77797070580791,2.87864443873364,2.92275574112735,2.86532951289399,2.85714285714286,2.9029029029029,2.84977331606218,2.91970802919708,2.78703827176957,2.86123032904149,2.85714285714286,2.88461538461539,2.88214788993548,3.09041882616612,2.72674486533566,2.74154442962783,2.94298921417565,2.80561122244489,2.70299491836955,2.74938813302184,2.48062015503876,2.55009107468124,2.47455856897086,2.32558139534884,2.37795275590551,2.25597834260791,2.31690733086407,2.50041673612269,2.40601503759399,2.32612235403582
1286,"Orange","CA",6,4.16666666666666,3.70787275438995,3.66731005439551,4.16666666666666,3.86100386100386,3.80952380952381,3.84615384615384,3.73831775700935,3.66686147660293,3.67731575388776,3.74212671359763,3.66692631311047,3.67631957280756,3.69558936825886,3.75023440430053,4.00801603206413,3.78665853559442,3.57142857142857,3.64298724954463,3.50877192982456,3.35570469798657,3.33388898149691,3.38983050847458,3.33325277764352,3.06122448979592,3.07692307692308,3.1778306382907,3.33444481493831,3.22606663926023,3.48614303934376,3.45423143350605,3.31797235023041,3.35978371765216,3.13479623824452,2.89664378337147,2.78260869565218,2.73926693361309,2.76877488656357,2.5706940874036,2.58945443462359,2.68456375838926,2.66850544646536,2.55813953488372,2.64394993045897,2.55011973392461,2.51968503937008,2.56410256410257,2.50031253906738,2.51568391306743,2.46045694200352,2.50173870840233,2.5630459926141,2.48839819319283,2.46913580246914,2.62132856090115,2.63296471827278,2.50871080139373,2.53138718570827,2.43932186852055,2.37691001697793,2.44755244755245,2.41042370851932,2.44200244200244,2.28013029315961,2.4780316344464,2.29914787879235,2.5506114179942,2.47349659756609,2.55340881924674,2.46661208458036,2.47395833333334,2.28034430119663,2.40963855421686,2.37428008973646,2.2558899484945,2.12014796085593,2.38095238095238,2.43902676978222,2.40053357047577,2.48812203050762,2.46913580246914,2.33280350828543,2.29134104592826,2.22605518375527,2.25118483412322,2.18360478561296,2.30149597238205,2.18181818181818,2.30942479435049,2.36375271646964,2.40480961923848
581,"Kings","NY",7,4.76190476190477,4.25531914893616,4.97619047619048,4.26552949538024,4.8999599839936,5.27704485488126,4.78468899521531,4.16666666666666,4.52173913043479,5.00834724540902,5.0125313283208,5.0125313283208,4.73051260306243,5.27240773286467,4.41796641647592,4.76852790531539,5.02023214460733,4.8,4.50831888142206,4.76947535771065,4.18410041841004,4.53074433656958,3.87897595034911,4.36681222707423,4.25851299617167,4.54545454545454,4.76947535771065,4.77326968973747,5.00939457529932,4.55580865603644,5.29100529100529,4.35729847494554,4.79144446410721,5.0125313283208,5.18082223021394,4.76947535771065,4.44444444444444,4.46932395857261,4.4543429844098,5.302870533099,5.00625782227785,4.54648807309107,4.32801822323462,4.5045045045045,4.28545763050204,4.55686582319485,4.14878397711016,4.34869565217392,4.44444444444444,4.43184351880004,4.36363636363636,3.92156862745098,4.69260540799235,4.59586346910291,3.90304720848654,3.97632458498023,4.42844658072973,4.04040404040404,3.8647342995169,4.50204638472033,4.54545454545454,4.18891345435586,3.97727272727273,4.3167701863354,4.01606425702812,4.00560929705688,4.01606425702812,4,4.0016006402561,4.18445686578221,4.3010752688172,3.63756613756614,4.01606425702812,4.24242424242425,4.25531914893616,4.46096654275093,3.70679272945119,3.58974358974359,3.46083788706739,3.3695652173913,4.00320256204964,3.84615384615384,4.04040404040404,3.84911470361817,4.26315294707486,3.84615384615384,3.40783410138248,3.1,3.35291307158315,3.68642489836077,3.61128526645768
2964,"Miami-Dade","FL",8,7.40740740740741,7.02333359259547,6.79160839160839,6.95296523517382,6.86971800620904,6.80851063829787,6.6711140760507,6.21289472262226,6.23390952556087,6.25000390625488,6.52861960957462,5.97716571036414,6.13139992839241,6.15384615384615,5.78616352201258,5.84905660377358,5.78947368421052,5.76923076923077,5.88928150765606,5.56173526140156,5.26315789473685,5.53264474662898,5.61643835616439,5.28420359272863,5.26319298245614,5.30940988835725,5.06329113924051,5.71428571428572,5.0561797752809,5.55555555555556,4.84140233722872,5.0761421319797,5.00250125062531,4.76644423260247,5.12820512820513,5.05334241289297,4.78364884543374,4.77459771784987,4.95238095238095,5.18518518518518,5.07936507936508,4.69973890339426,4.4499822000712,4.54545454545454,4.40852552474734,4.4484141731785,4.25531914893616,4.4120891480581,4.19289054533947,4.16666666666666,3.92156862745098,4.16666666666666,4.00363967242948,3.77247706422018,3.84636752136752,4,3.85356454720617,3.81578313193235,3.89908256880734,3.71616639812571,3.67122602168474,3.69735944655559,3.68015414258189,4.04040404040404,4,4.0016006402561,3.9264828738513,3.7743117132308,3.69815100154083,3.77358490566038,3.57792601576713,3.63636363636364,3.68916535949723,3.46020761245674,3.50877192982456,3.66883519206939,3.47575431034483,3.41463414634147,3.54868061874432,3.51422600104498,3.53982300884956,3.41758658434507,3.50877192982456,3.36134453781513,3.50877192982456,3.4807072174279,3.38983050847458,3.40909090909091,3.57398141529665,3.41296928327645,3.39622641509434
978,"Dallas","TX",9,4.45859872611465,4.43478260869565,4.37361008154188,4.76644423260247,4.65116279069767,4.48430493273543,4.24242424242425,4.05117270788913,3.97482610135806,3.86100386100386,3.84763370527126,4,3.97282213747665,4.08163265306123,4.16840350145894,4.70865214832255,4.1675350840628,4.00320256204964,3.96902226524686,3.86357321478188,3.5778175313059,3.45543161851271,3.55907986855265,3.70370370370371,3.54934147738118,3.70644922164566,3.59680676511422,3.79885134700889,3.94990366088632,3.50730750080543,3.26884589726484,3.22736816536957,3.34504107032363,3.27102803738317,3.28482257418849,3.23624595469255,3.33555703802535,3.35383000262457,3.26964307441858,3.57142857142857,3.45065562456867,3.33555703802535,3.22788896061975,3.2,3.08166409861325,3.22788896061975,3.185692820013,3.125,3.15998128555116,3.14031180400891,3.31100193746743,3.4034034034034,3.34397332547194,3.51351351351351,3.31332371826923,3.4494653328734,3.33333333333333,3.33333333333333,3.22667384638471,3.33444481493831,3.17561130517625,3.2258064516129,3.33555703802535,3.03306063692618,3.10895361380798,3.37458244761615,3.24731182795699,3.07692307692308,3.03490136570561,3.01838328115106,2.94290759270159,2.86807145501159,2.98507462686567,3.03490136570561,2.85714285714286,2.6322718328206,2.77932184546971,2.76497695852534,2.79069767441861,2.78551532033426,2.97251822770611,2.81081081081082,2.71002710027101,2.85877644368211,2.79131344211716,2.85714285714286,2.60791390340191,2.47542953262045,2.63157894736842,2.83564456869997,2.89119792573673
1347,"Queens","NY",10,4.10703332651809,4.16,4.18410041841004,4.35185185185185,4.3859649122807,4.77137252372406,5.0251256281407,4.56571371848322,4.45269016697588,4.9521999089522,5.26315789473685,4.62962962962963,4.5662100456621,4.47063101829261,4.7936170212766,5.20055798928073,4.8951048951049,5.07944652121153,4.19906906104541,4.10260294377541,3.86100386100386,4.04778836580856,3.86100386100386,4.08805031446541,3.93874971270972,4.17362270450752,4.16670138917824,4.36681222707423,4.44444444444444,4.26439232409381,4.00801603206413,4.01606425702812,4.01129943502825,3.86100386100386,3.80622837370242,4.01606425702812,3.77173407717341,3.61645095647189,3.99365002477631,3.64298724954463,3.75,3.86100386100386,3.63636363636364,3.584229390681,3.71747211895911,4.00400801603207,3.40909090909091,4.01785714285714,3.75469336670838,3.74975937439843,3.66197183098591,3.64963503649635,3.44862068965517,3.61305361305361,3.47058811588651,4.01606425702812,4.02421003623409,3.52941176470588,3.76412135867307,3.584229390681,3.58620689655172,3.65640188165305,3.89160829704951,3.75939849624061,3.46572362136466,3.42764208559032,3.6988175510603,3.85356454720617,3.42857142857143,3.63636363636364,3.64298724954463,3.43347639484979,3.92405063291139,3.70713942142514,3.61881785283474,3.47760452287219,3.44043936620163,3.29365500489346,3.11241810279586,3.64298724954463,3.47175495857394,3.34780413777088,3.62318840579711,3.64298724954463,3.53895239561174,3.52429746933706,3.43014562928726,3.55977391344576,3.23101777059773,3.26340326340326,3.48984678311737
