"RegionName","State","Metro","StateCodeFIPS","MunicipalCodeFIPS","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03"
"Dauphin","PA","Harrisburg","42","043",242,158950,154900,159400,159900,157627.5,154900,154900,149900,153400,152900,149900,144900,145300,139900,138500,135000,135000,135000,134900,134900,129900,129900,132700,129900,135700,135000,139900,139900,147000,143900,141900,139900,134900,134900,144900,141250,142800,142900,147700,147900,159900,159900,159900,152000,153900,149900,148000,164900,152200,154900,153950,159500,159000,164900,164900,164900,162900,164900,163950,159900,164900,163400,159900,159900,161950,155000,154900,154900,174900,154900,157950,150000,152900,144900,153000,149900,153900,164900,154900,152700,162000,179900,159900,159900,159900,157450,176450,183900,175000,174200,177250,182000,169900,173100,174900,169974.5,169900,169900,174900
"Durham","NC","Durham","37","063",243,175000,179900,182500,182000,179900,177500,174900,174900,174000,164900,164585,164900,161990,162500,165000,167400,168000,169900,169000,164900,155500,150000,149000,142820,156900,164827.5,169900,169900,168000,163600,159900,159990,159900,160000,174000,175740,177245,184900,186250,187015,187442.5,187500,188990,185000,189000,189900,188990,187000,182965,188990,190000,189000,192990,190000,195000,194900,199900,2e+05,199900,199000,199900,2e+05,2e+05,209900,210950,215000,219000,220000,225000,228906,228339,227990,228459.5,224900,230000,239450,239450,244700,240000,242250,240000,240255,243945,248990,248495,249900,259900,258000,260000,259900,265000,260000,265000,267000,272500,275000,279500,285495,280990
"Chatham","GA","Savannah","13","051",244,209900,209900,205900,199900,199900,199000,196950,198000,195000,189900,179900,175000,179162.5,175000,178000,179900,181000,179900,179900,175495,175000,169900,159900,154500,159900,174280,169000,160450,164900,163169,159500,162900,168900,169900,179900,182900,184900,189900,189900,192000,198975,199000,199000,199900,201500,2e+05,199840,204193,200500,215000,219000,219900,219900,220000,224000,224350,225000,222211,220100,219000,225000,229000,229830,229700,227000,224900,224900,224999,225000,220191,224130,224900,225900,227900,234900,234900,234900,234900,234900,235000,229900,229800,225000,225000,225000,230000,233700,235000,235400,236000,236650,239900,241035,242500,245000,244000,246950,252995,249900
"Ottawa","MI","Grand Rapids","26","139",245,154900,155900,154900,153200,154900,154900,150000,149900,149900,149900,149850,144900,139900,139900,144900,145450,149900,149900,149900,149900,149900,149900,139900,139900,142500,147900,149900,149900,149900,150000,155000,154900,150000,159000,164900,162900,167900,169900,168900,169900,169900,174900,177500,183500,179900,178950,174900,174900,179900,179900,194900,199900,199900,199900,199900,199900,194900,185000,179900,179900,184500,189900,199900,199900,199900,204900,204900,199900,209900,213950,214900,214900,215900,219900,229900,239900,239000,239900,239900,239000,239900,239900,239900,247900,244900,249900,249900,249900,256655,264900,267645,263400,254900,255000,255000,259440,260900,268588,274900
"Rutherford","TN","Nashville","47","149",246,149900,149900,148500,147000,144900,144900,144900,144900,149000,149000,144700,139900,136990,134900,134900,134990,137900,139900,139900,139900,134994.5,134900,132000,129900,129900,129900,130000,134900,134100,134700,133900,130000,133900,139000,155000,154900,154950,159900,159995,166350,171900,174900,178625,174900,178500,179000,179900,180000,179900,179900,184900,189900,189900,189900,192250,194900,192900,199000,199900,205159,211950,214900,199990,204900,205000,208500,209900,210500,214900,219000,219900,219900,222922,219900,219900,219900,224900,229900,225000,233200,239561,239900,240000,245450,239900,247500,256990,259990,260000,263900,259950,264500,263379,264900,278990,279900,277900,283715.5,271900
"Lexington","SC","Columbia","45","063",247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150900,150000,155000,159000,159900,159990,159900,164900,159900,159995,159900,159900,160000,162650,165000,169000,167990,169300,169900,166000,163500,162900,167900,164900,164990,167213.5,165480,172995,175000,173945,176085,175000,174500,174644.5,174900,179500,181900,179000,176600,179900,181245,184900,184900,177900,175000,174500,174594,180250,177950,181768.5,185900,189999,189500,191900,195000,195000,201108,200900,205945,204652.5,199900,2e+05,202900
"Santa Cruz","CA","Santa Cruz","06","087",248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,673000,674000,650000,665000,674450,679000,715000,728000,725000,699975,749000,744400,719500,725000,702000,749250,785000,750000,774900,789000,792000,789000,799000,782000,795000,799000,789000,785000,799000,843737.5,849000,849900,849900,849000,829000,849000,849000,849000,822500,828000,835000,849000,859000,850000,885000,879000,890000,889000,879000,879000,879000,889000,899888
"Clayton","GA","Atlanta","13","063",249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66000,68000,64900,60000,65000,69900,69900,70000,70000,72000,70200,72900,69900,69000,75000,80000,82000,84500,85000,86000,90000,92700,98900,95000,95000,99000,98000,89900,90000,89948.5,90000,99900,99999,99900,104900,104900,107000,105000,109900,108450,114900,115700,119900,119500,123000,129900,130000,132000,139000,135000,135250,135000,140000
"Merced","CA","Merced","06","047",250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,178000,180000,185000,189900,205000,209900,205000,217000,219900,219000,219000,215000,199999.5,2e+05,205099.5,215000,219900,224900,229000,230000,229400,229999.5,234900,229950,229950,229900,229900,229900,230000,235000,235000,239000,244950,249000,249950,250000,254900,259000,255450,259000,259807,259700,261900,261950,265000,269900,272450,275000,279900,285000,285000,289800,293300
"Cleveland","OK","Oklahoma City","40","027",251,158950,158052,158900,158500,159474.5,155995,154900,154900,152613,149500,144900,143900,135900,128500,135500,139900,139900,139900,139900,139900,139995,138975,132900,129700,126000,129900,135900,135000,144500,145000,145000,144999.5,144300,142111,152000,150301,150000,151825,155900,160000,163000,165000,159999,159000,159000,159500,160000,163251.5,164400,164900,169000,172800,179700,179000,177150,177900,174943,174900,176740,174900,180000,179900,182000,184900,189888,188776.5,187500,185000,189099.5,185000,189900,192000,191900,190000,190000,189500,188205,189900,189000,188979.5,190000,189900,193585,199900,197700,199900,196746.5,2e+05,2e+05,205000,206995,205000,212900,210586,214558,219500,215000,219700,224999
"Caddo","LA","Shreveport","22","017",252,153950,154900,155250,164500,159000,159900,164900,159000,156950,149900,146750,145000,139900,142500,149900,154900,158500,158900,159500,164750,160000,158000,156900,149900,148350,142700,149000,159900,159500,159900,159900,159000,159950,163000,175900,175000,177500,176740,174945,179700,181600,180000,179950,179500,179900,183500,174900,174500,169900,175900,176500,170000,172900,169900,168500,164900,164900,160000,165000,165900,165000,165613,169000,172000,174500,174004,173000,175000,173500,169900,169900,169900,169900,169950,171500,175000,175000,173900,175000,174900,169200,169900,166500,168750,165000,169000,169900,169900,170000,171900,169000,166250,160000,164900,159900,160000,165000,166450,165250
"Weld","CO","Greeley","08","123",253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250000,254900,255580,259000,265000,259900,260000,265000,269900,271620.5,280050,282470,290000,290775,294950,286900,293987.5,294000,296900,295882,299900,299920,3e+05,300104,305000,314950,312000,309300,310000,315700,322900,325000,325000,325000,324900,325000,325000,329900,338051,345470,350000,359900,362950,362777,365100,369447.5,372900,370950,370995,372400,368250,359900,365366.5
"Marin","CA","San Francisco","06","041",254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,903500,927000,899000,899500,949000,899950,949000,959000,941500,995000,1075000,999000,995000,949950,899000,949900,996000,999999.5,1049000,1025000,998500,995000,1095000,1097000,1099000,1062500,1099000,1099999.5,1112500,1195000,1200000,1195000,1150000,1150000,1195000,1195000,1125000,1150000,1149000,1149000,1275000,1315000,1249000,1249000,1179000,1196000,1225000,1270000,1265000,1295000,1200000,1250000,1299000
"Jefferson","TX","Beaumont","48","245",255,135450,129900,129900,129900,129900,129900,128000,129950,139900,134950,132200,125000,126000,124900,125500,129900,129450,125950,124900,122500,119900,119000,119000,110719,110000,112200,111000,110000,114800,114900,109900,111950,107000,111500,124900,122500,119900,119900,120000,124900,125000,127250,129900,128000,124900,128500,123250,125000,125000,128750,129900,134500,130000,130450,129900,129900,129950,130000,129475,129900,129900,129900,128400,129000,129900,134900,134900,133000,129900,129900,133000,135000,130000,130750,135000,135000,139900,140000,145450,145000,144250,144900,149000,145000,149000,150000,154000,159900,164394,164900,160000,158950,160000,150000,150000,149900,149900,149900,155000
"Thurston","WA","Olympia","53","067",256,223000,225000,229000,229900,229500,230000,234900,239997,245000,230000,225000,224950,220000,223997.5,225000,224900,229900,230000,230000,233450,230000,225000,219950,219500,222975,218550,215000,214500,220000,219900,219900,219000,214997.5,214900,234950,234999.5,234990,236000,238950,236500,240000,242950,244950,244950,244950,242000,239950,239900,236950,239900,247950,249900,250000,254925,250000,255000,255000,249950,246950,235000,235000,244925,249900,259000,259950,264900,261250,260250,264900,259900,259900,259995,264950,264900,264800,269700,272950,260000,264900,269900,264900,269900,272997.5,275000,269900,274950,282500,287000,295000,295000,295000,289900,290000,297500,295000,289900,294900,299900,299990
"Kitsap","WA","Bremerton","53","035",257,295000,288000,289000,269950,269000,269000,270000,259900,265000,264000,265000,254975,249900,239900,243975,245000,249900,259000,259000,259900,259900,249950,244900,235000,239000,239900,240900,245000,244950,249000,246500,239000,229900,225000,245000,244950,249000,249000,249974.5,250000,259970,266000,267950,264950,267950,265000,250000,254950,249500,252000,254999.5,267500,275900,279000,280000,279000,279000,269900,250000,239000,249950,259950,269000,278000,284317.5,286450,283891,279900,279900,279250,278500,275000,275000,281000,284950,289000,299999,310000,309250,309000,303950,3e+05,3e+05,3e+05,3e+05,304950,312950,323950,334950,339950,339950,338950,334450,329950,329250,329000,329900,347975,349500
"Kalamazoo","MI","Kalamazoo","26","077",258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109900,106950,109900,114900,119900,124825,124900,124900,124900,119900,119900,118900,115000,111900,114900,119900,128900,134900,138000,132500,129900,125000,124900,119500,111995,110000,119700,124900,127900,129900,132000,129900,129900,129000,128500,124200,119900,114900,119900,124900,129900,139900,142900,144800,149000,152500,152800,149200,150000,150000,164900,166700,170000,181900,181400,179900,171750,169900,169900,165577,162900,165000,164900,179900
"Webb","TX","Laredo","48","479",259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,159000,152000,150002.5,152000,159000,161000,159999,163450,152850,159900,147000,144450,149000,143000,139900,149500,160000,164250,159900,162250,161000,164200,164900,152000,164700,164350,175000,189000,190000,193225,193990,191990,193990,193990,191990,193990,196550,176900,170000,170000,178000,179000,182000,179900,178000,179900,182990,179900,179900,175718.5,175000,179900,184900,184900,185000,185000,184900,184900,184700,184990,185000,184900,184900,185990
