"RegionName","State","Metro","StateCodeFIPS","MunicipalCodeFIPS","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03"
"Kern","CA","Bakersfield","06","029",34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165000,169000,185000,189000,179450,185000,189000,189000,189900,189000,189000,189000,189000,179000,179000,169000,179000,179000,185000,180000,185000,185000,189000,185000,185000,180000,180000,199900,188250,199950,196150,189722,189222,196700,190000,199900,195000,184950,192450,199450,199900,215950,232250,232250,219000,219500,225000,225000,239495,230000,229000,237000,225000,225000
"Ventura","CA","Ventura","06","111",35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,740000,745000,715000,721944,725000,725000,729900,712500,712500,749000,722000,739450,719000,725000,707495
"Middlesex","NJ","New York","34","023",36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,325000,335000,334900,349950,329950,324000,319000,325000,339000,329900,329900,340000,347000,349000,349000,340000,347000,349994.5,350000,359900,342499.5,342499.5,359900,374900
"San Francisco","CA","San Francisco","06","075",37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2225000,2099000,1998000,1995000,1996500,1998000,1987500,1897000,1997000,1991500,1995000,1995000,1995000,1925000,1875000,2045000,2250000,2200000,2298000,2379900,2300000,2497500
"Hamilton","OH","Cincinnati","39","061",38,85000,99000,90000,84900,79900,79450,79900,79900,74900,72000,69900,69900,72000,69900,71450,79000,79200,79500,78000,79900,80000,85000,89900,89000,84995,82900,83200,85000,85000,89000,89000,86700,85900,85950,85000,88250,85000,89000,89900,92900,99000,95750,95000,98000,93450,92900,96000,87250,90000,82000,85000,89900,92500,95000,99000,95000,99900,99900,102500,99000,1e+05,103000,97500,99000,99900,105000,105000,109000,105000,101450,104900,104000,104900,102000,99900,99450,99900,104900,109000,99900,99950,99000,99000,99000,97625,97750,1e+05,115000,115000,110000,115000,115000,114900,114999.5,114900,105000,109000,115900,119250
"El Paso","TX","El Paso","48","141",39,,,,,,,,,,,,,,145000,143800,130000,130000,139975,139925,137450,139950,130000,125000,135475,144999,145900,150000,150000,147500,138000,142500,143500,147700,148750,149000,145000,149975,161250,160000,159500,161750,157000,167500,160000,155000,149000,149900,144900,139950,143000,139900,150000,155000,143900,143900,141250,140000,142500,149900,141497.5,137995,129500,130500,128400,139950,142450,155000,147450,136450,134900,131950,124900,119000,119200,139900,135000,138500,160250,155750,151250,139500,139900,131000,139500,149000,150000,151750,145500,153944,157385,151000,154500,149950,149950,150000,152000,155900,155900,149000
"Montgomery","PA","Philadelphia","42","091",40,229900,219900,222450,224950,229450,235000,224900,209900,225000,227000,225000,210000,210000,209900,199950,202500,212400,2e+05,199900,202500,2e+05,2e+05,204495,199900,2e+05,219900,219900,219900,219900,209450,200990,200990,200495,219900,214500,209990,199900,210000,214450,214995,214995,209900,2e+05,209450,219450,224900,209900,217000,195000,198995,197528.5,197557,200945,212450,192495,193995,209900,218500,222400,219200,209990,219900,239900,239000,234500,238450,229900,238500,229900,229900,228000,215000,209900,209900,209900,209500,219000,214900,219900,212495,214900,212445,206700,218250,217000,209900,209990,204900,224449.5,214900,199900,193800,196950,199000,199900,199900,225000,223949.5,232450
"Worcester","MA","Worcester","25","027",41,189000,192450,189999,195000,189900,184900,181250,179961,185000,180000,182500,174900,169000,164900,159900,159900,164900,169000,169900,165000,165000,168977,159900,155000,159900,155000,154900,155000,159900,159900,159900,164900,164900,169122.5,169900,164950,159900,159900,164900,169900,179900,179900,189900,195000,194000,185000,189900,187000,175000,180000,184900,185000,189900,189900,189000,188750,189900,189900,189900,187900,189000,189000,180000,199000,209900,209900,210000,209900,209000,209900,199925,199900,199800,199000,206200,219450,219900,225000,227700,225000,224900,229500,228250,224999,224000,219900,224272.5,235000,234900,236326,239900,244900,240000,244500,249900,245000,255000,249700,242500
"Pierce","WA","Seattle","53","053",42,275000,261000,248000,239950,239450,239900,238947.5,229950,237995,229000,232000,229000,235000,240000,239950,239900,230000,238450,229750,225388.5,219900,219900,219000,220000,192500,209900,209500,2e+05,198997.5,198975,199950,199997.5,199975,199975,2e+05,224975,242225,230000,239950,249900,247000,249000,249250,244500,246750,240000,239000,234500,245388.5,229888.5,230000,232250,239450,249000,265000,274975,277000,264950,254975,249750,254999,254999.5,259900,269000,259475,259950,280000,272250,269475,270000,278999,285000,275000,289000,309900,309950,308475,301997.5,316425,329000,329925,330000,329450,328950,325000,319000,329900,340000,360000,350000,340000,339950,340000,350000,360000,349950,372000,359950,375000
"Essex","NJ","New York","34","013",43,229000,229900,239000,239999,237328,225000,225000,225000,230000,230000,229950,229900,230000,229900,220000,2e+05,2e+05,215000,216500,215000,199000,209900,219900,199999,199000,202000,2e+05,199000,189000,199000,199450,199000,199900,199900,199999,199999,199999.5,209900,199450,210000,210000,199999.5,199900,2e+05,199900,199000,195000,180000,178500,178750,180000,189000,199000,199000,2e+05,205000,199900,199450,199000,199000,189000,180000,182012.5,199000,199900,205000,199000,199000,199900,196500,199000,185000,185950,170000,175000,167925,180000,199450,179950,189900,201491,217000,202000,193800,192400,190000,210000,220000,218120,225000,222000,230000,225000,235000,238500,249900,255000,250000,250000
