RegionID,RegionName,StateName,SizeRank,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03
2847.0,Snohomish,Washington,65,323200.0,312700.0,306700.0,297600.0,295400.0,302200.0,302100.0,303600.0,296e3,295300.0,290200.0,288e3,286e3,285500.0,280300.0,278e3,269200.0,267800.0,266400.0,273100.0,272600.0,271700.0,269300.0,27e4,271400.0,271900.0,268100.0,262400.0,259200.0,257900.0,254300.0,250300.0,247e3,245700.0,244900.0,241300.0,239e3,233500.0,231900.0,225300.0,222800.0,221700.0,226700.0,225600.0,231300.0,233300.0,234200.0,227900.0,224900.0,227700.0,238e3,244800.0,251600.0,248400.0,25e4,249400.0,253500.0,256600.0,261400.0,266900.0,269400.0,270700.0,273400.0,274600.0,278900.0,281e3,282500.0,277200.0,278e3,28e4,286700.0,288100.0,289400.0,290400.0,291e3,293800.0,296200.0,294700.0,295900.0,297600.0,300700.0,302400.0,305300.0,308300.0,311800.0,317200.0,319100.0,320500.0,315400.0,318700.0,319600.0,324400.0,321200.0,324300.0,333100.0,334200.0,335900.0,333200.0,341700.0,343900.0,344300.0,345800.0,35e4,352400.0,356200.0,357300.0,367400.0,368900.0,371200.0,375400.0,383300.0,388600.0,387900.0,387700.0,393400.0,396800.0,402800.0,400600.0,412600.0,422900.0,437800.0
220.0,Lake,Illinois,66,,,,,,,,,,,,,,,,,188700.0,187200.0,190900.0,195e3,209900.0,216300.0,239900.0,249900.0,246500.0,217600.0,192600.0,188800.0,191700.0,204400.0,199300.0,208300.0,200400.0,206200.0,207e3,203800.0,197200.0,187e3,188400.0,196e3,197200.0,195600.0,187100.0,184500.0,180700.0,183100.0,174800.0,179e3,171400.0,166900.0,157700.0,166600.0,181700.0,179600.0,173300.0,161700.0,169800.0,182200.0,182200.0,192500.0,179700.0,186100.0,175600.0,177700.0,19e4,198700.0,207700.0,204300.0,201900.0,204100.0,206500.0,211200.0,212200.0,208500.0,208300.0,208200.0,212700.0,224300.0,223100.0,221700.0,209300.0,210300.0,210500.0,219e3,219600.0,221700.0,217100.0,222600.0,225e3,222200.0,218100.0,215900.0,223600.0,222800.0,225200.0,221900.0,225100.0,223700.0,223800.0,223900.0,222500.0,213300.0,203700.0,201800.0,215600.0,230100.0,239900.0,255600.0,260300.0,254100.0,238500.0,233e3,233800.0,224800.0,212500.0,218900.0,231900.0,248300.0,253300.0,274e3,276800.0
984.0,Dekalb,Georgia,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67400.0,61800.0,67200.0,67600.0,74400.0,73200.0,72700.0,70200.0,71200.0,71200.0,72300.0,72300.0,74100.0,78400.0,85200.0,92700.0,100200.0,104200.0,104300.0,104500.0,106700.0,113e3,116300.0,123600.0,125700.0,126600.0,119400.0,117100.0,115100.0,116e3,115e3,116700.0,114400.0,115100.0,116100.0,124800.0,129100.0,130600.0,133700.0,139300.0,146900.0,150200.0,155300.0,156700.0,161300.0,165e3,167100.0,162800.0,159600.0,160300.0,160700.0,160600.0,166400.0,173400.0,177800.0,174300.0,173400.0,17e4,164100.0,157300.0,156100.0,167800.0,185700.0,196100.0,201800.0,200100.0,205700.0,207800.0,221e3,218e3,209900.0,186800.0,181900.0,180300.0,188800.0,192700.0,211900.0,216400.0,
135.0,Cobb,Georgia,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116800.0,116200.0,114500.0,115800.0,112500.0,113200.0,116700.0,123900.0,127400.0,131200.0,131900.0,133500.0,136100.0,141700.0,150200.0,154500.0,157700.0,157700.0,160200.0,161700.0,165800.0,171900.0,178300.0,180500.0,179100.0,176900.0,176300.0,177e3,178200.0,178500.0,178400.0,179200.0,181800.0,185600.0,188500.0,189300.0,190100.0,192200.0,194100.0,193600.0,191300.0,193400.0,195100.0,202e3,201900.0,202600.0,197300.0,198600.0,2e5,200700.0,202400.0,203900.0,206900.0,206600.0,207800.0,208400.0,207300.0,204900.0,204800.0,204600.0,204200.0,211400.0,213900.0,220200.0,218100.0,224800.0,226800.0,225500.0,222700.0,215400.0,215700.0,217e3,228e3,235600.0,240600.0,242700.0,242900.0,
3134.0,San Joaquin,California,69,,,,,,,,,,,,,,,,,,,150300.0,15e4,156500.0,161600.0,165900.0,162200.0,160900.0,158700.0,162100.0,159200.0,159500.0,155900.0,157400.0,156600.0,157700.0,157100.0,156200.0,156400.0,155e3,151700.0,147500.0,147900.0,148600.0,150700.0,149900.0,146700.0,145800.0,142400.0,147700.0,149600.0,151900.0,152700.0,151500.0,153700.0,153400.0,156200.0,160400.0,165600.0,176200.0,180400.0,180500.0,171500.0,175700.0,181e3,193e3,194700.0,205500.0,209e3,216100.0,215600.0,221300.0,226700.0,233900.0,232700.0,233600.0,233900.0,239e3,243600.0,245100.0,246500.0,246900.0,249500.0,251100.0,251900.0,250800.0,253200.0,254300.0,256800.0,256600.0,263500.0,265700.0,273300.0,270600.0,268600.0,267500.0,268700.0,278600.0,285400.0,288100.0,288500.0,289800.0,290500.0,291700.0,291200.0,294900.0,298300.0,302700.0,306300.0,308e3,310300.0,311e3,316700.0,320800.0,326200.0,327200.0,326700.0,325100.0,321200.0,332200.0,336300.0,347500.0,346400.0,355500.0
330.0,Will,Illinois,70,228500.0,229800.0,222100.0,211600.0,202300.0,202800.0,206e3,210200.0,209900.0,208700.0,201900.0,2e5,195300.0,194100.0,187500.0,182500.0,18e4,179100.0,181100.0,181500.0,182300.0,180900.0,179200.0,179900.0,179700.0,183300.0,177600.0,178600.0,175200.0,180900.0,180100.0,179e3,181400.0,182100.0,187100.0,182800.0,180600.0,174100.0,166900.0,163900.0,165e3,163e3,159e3,154800.0,155500.0,154400.0,152100.0,150600.0,151800.0,154500.0,155800.0,159e3,161400.0,165700.0,164600.0,162200.0,160300.0,165600.0,169900.0,172700.0,172300.0,173e3,174400.0,176e3,178700.0,179600.0,182e3,179300.0,181800.0,180200.0,181600.0,180500.0,181100.0,179800.0,178600.0,177100.0,181200.0,182700.0,184100.0,182300.0,180800.0,183300.0,182900.0,189400.0,185100.0,185100.0,184200.0,185800.0,184100.0,184e3,185500.0,192600.0,191600.0,192200.0,188700.0,187500.0,191e3,195500.0,207e3,208100.0,203600.0,194100.0,190200.0,191300.0,192500.0,193200.0,196600.0,199e3,203300.0,207400.0,210800.0,211200.0,206700.0,204300.0,200500.0,200400.0,197500.0,198900.0,201200.0,204100.0,209800.0
1948.0,Norfolk,Massachusetts,71,367400.0,362100.0,352600.0,341300.0,343400.0,340700.0,340500.0,345400.0,348300.0,341400.0,325900.0,324300.0,320700.0,323400.0,317600.0,323900.0,328500.0,336100.0,341600.0,345e3,345100.0,344e3,349600.0,353400.0,355e3,348500.0,343800.0,349300.0,359400.0,361600.0,366e3,354900.0,360600.0,347900.0,347600.0,344200.0,342900.0,346600.0,344e3,346700.0,357500.0,363300.0,368100.0,353700.0,345e3,337100.0,334100.0,332200.0,329700.0,336100.0,339300.0,348500.0,345600.0,355900.0,351600.0,354600.0,348200.0,351600.0,351800.0,349e3,347800.0,350900.0,358100.0,365200.0,366600.0,368200.0,370700.0,374500.0,379100.0,383600.0,388300.0,388600.0,386300.0,385300.0,382500.0,384300.0,386300.0,390600.0,389e3,381700.0,379500.0,379500.0,382800.0,388100.0,388400.0,395500.0,392300.0,389700.0,388800.0,392e3,396100.0,399600.0,402600.0,403500.0,403900.0,396300.0,399100.0,397900.0,407400.0,406800.0,411900.0,408900.0,409100.0,406600.0,406300.0,407700.0,408e3,412700.0,416900.0,425100.0,431800.0,438600.0,440900.0,440600.0,445800.0,446500.0,453600.0,444700.0,439900.0,437200.0,446400.0
988.0,Denton,Texas,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200900.0,201600.0,208900.0,209500.0,212e3,205900.0,206700.0,202600.0,202800.0,203900.0,207400.0,206600.0,206800.0,208400.0,209300.0,210100.0,210100.0,209900.0,209400.0,213300.0,224e3,230900.0,232400.0,229700.0,229200.0,229e3,230500.0,232600.0,236300.0,235200.0,237600.0,237800.0,240300.0,238600.0,239800.0,238800.0,242400.0,245200.0,249200.0,250600.0,249400.0,252300.0,253100.0,255600.0,256400.0,258300.0,261600.0,261900.0,264400.0,264600.0,270400.0,279600.0,289e3,295800.0,290900.0,284100.0,278400.0,278400.0,280100.0
2732.0,Jefferson,Alabama,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127100.0,122200.0,110500.0,104600.0,104300.0,106600.0,110400.0,111e3,105300.0,104700.0,108900.0,105800.0,106700.0,105700.0,106200.0,111e3,117700.0,124800.0,120600.0,115e3,108900.0,110800.0,110800.0,114800.0,110300.0,109300.0,101500.0,103500.0,105400.0,112400.0,117900.0,120400.0,129e3,127800.0,120100.0,114200.0,122400.0,132100.0,135e3,129500.0,128100.0,124e3,122400.0,125200.0,125500.0,128e3,125600.0,129600.0,129800.0,133900.0,134300.0,133200.0,132100.0,129100.0,128200.0,126700.0,130500.0,128800.0,131400.0,135300.0,146e3,155700.0,153900.0,147200.0,138400.0,137700.0,14e4,148500.0,150700.0,156100.0,148800.0,176700.0,
2441.0,Monmouth,New Jersey,74,384300.0,373700.0,365e3,360900.0,367600.0,363400.0,357900.0,348400.0,349900.0,346400.0,349300.0,350200.0,357900.0,350600.0,336300.0,326900.0,325200.0,330700.0,332100.0,335900.0,334e3,327300.0,337200.0,345300.0,352700.0,342700.0,338300.0,338500.0,344400.0,349e3,348200.0,343800.0,330800.0,326200.0,321500.0,322e3,331600.0,333200.0,330500.0,321400.0,322700.0,337900.0,343800.0,337700.0,329300.0,319200.0,317200.0,320200.0,325400.0,336e3,332800.0,333300.0,329200.0,329900.0,325100.0,321600.0,326400.0,328500.0,332700.0,321700.0,320400.0,318200.0,325e3,334600.0,341500.0,350400.0,350200.0,354100.0,351100.0,352600.0,350200.0,351400.0,338700.0,345200.0,341900.0,350400.0,347100.0,347500.0,350800.0,348400.0,353500.0,357200.0,360400.0,360100.0,358e3,360900.0,357100.0,354500.0,352800.0,355800.0,361900.0,355900.0,353600.0,344200.0,345500.0,347600.0,356800.0,351e3,355100.0,354e3,359200.0,351100.0,345900.0,354500.0,356400.0,361700.0,359600.0,381100.0,384e3,37e4,353e3,351500.0,367900.0,366600.0,363e3,,,,,,
