"RegionName","State","Metro","StateCodeFIPS","MunicipalCodeFIPS","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03"
"Canyon","ID","Boise City","16","027",244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,235750,239482.5,242000,265000,249900,259900,249900,249900,252000,257495,240000,239900,259900,269900,274995,284500,280000,287200,284900,266990,274500,274245,269990,299000,319950,299995,287495,285000,272125,274700,275990,275990,290637.5,296200,309480
"Anderson","SC","Greenville","45","007",245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,333900,354975,350400,348700,369000,367180,359900,340400,326928,339005,351148,356972,350598,360900,369900,387800,385000,360950,385000,346647.5,336870,340767,341312,349900
"Harrison","MS","Gulfport","28","047",246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,343700,329900,313777,327400,319900,338000,333900,335950,333900,331900,329900,329900,325900,324450,326900,345900,345900,344900
"Peoria","IL","Peoria","17","143",247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,331000,336700,344900,334900,319200,318500,318500,322400,305000,299900,284400,281450,286900,289900,309900,317450,320000,319700,331750,328000,323450,339900,317450,357450,374900,359900,375000,357450,359900,369900,378000,372450,399900,399900,393450,393450,364900,387450,357400,374900,348700,349900,354900,341450,339900,339900,339900,333500,327450,336750,336750,334500,337200,322150
"Hawaii","HI","Hilo","15","001",248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,985000,964500,950000,935000,975000,929750,9e+05,912500,882000,912500,899000,9e+05,899500,947000
"Williamson","TN","Nashville","47","187",249,677407.5,649583.5,696750,724450,690587.5,676950,650000,649900,657450,569900,594900,579900,564585,566792.5,574450,568900,575000,577440,589900,550000,524993.5,499900,499900,515398,499900,525500,517490,526500,550814,559752.5,560000,501020,527000,514770,541900,475000,499900,574900,565385,619250,651880,682400,618600,618600,610000,594900,583400,595400,592650,589900,584450,624900,647900,652900,647450,659150,669150,695000,670349,689950,695000,698996,675000,699900,692500,699950,704950,726990,724900,725520,737990,738945,748803.5,799900,789900,775000,750048.5,739900,692945,749000,763585,792435,791167.5,819020,794042.5,835610,799900,769900,833917.5,792435,789900,795650,779900,729900,715990,730010,774900,749900,749445
"Ulster","NY","Kingston","36","111",250,299000,325000,349711,349900,349900,349700,349700,336450,337200,335400,315000,299000,325000,299900,299000,295000,304950,359000,335000,349900,349000,329900,320000,325000,325000,325000,334450,329900,329000,320000,299900,299700,292500,299000,315000,329450,310000,325000,299000,299000,325000,330000,349000,332500,325000,307450,320000,299000,279900,288000,298500,302500,337000,329000,329000,329000,299800,300425,299000,296750,289450,282000,274900,289900,289450,299900,310000,299000,299000,299000,299000,335000,335000,335000,339900,350000,342450,357250,369000,349500,332000,322000,299949.5,299949.5,299949.5,266200,299000,307499.5,329900,329900,332249.5,325000,325000,334450,354499.5,349000,349900,349900,344900
"Baldwin","AL","Daphne","01","003",251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,520975,497000,494900,489000,499450,532400,520000,520000,499450,474400,485250,520000,499450,499000,499000,499000,499950,5e+05,474400,459000,439000,425000,402900,397500,429950
"El Dorado","CA","Sacramento","06","017",252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,619000,599000,602475,606950,652450,655900,649450,663354,665000,722000,699000,692000,664500,679000,696500,692250,688500,699000,723475,687888,689000,697000,703472.5,721000,725000,722175,699950,699900,720000,725000,738000,789000,779500,769900,769450,779000,757450,749000,737000,744000,749000,757450,764999,769995,779000.5,784000,781550.5,809000,788900,785000,768999,763999.5,769995,787000,779250,798500
"Livingston","MI","Detroit","26","093",253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,425000,452500,455000,444950,439900,449900,449900,434900,467450,485000,399950,407500,405000,4e+05,399950,439950,449000,449950,449950,429950,434950,440000,439875,429900,429900
