"Date","RegionName","State","Metro","SizeRank","Zri","MoM","QoQ","YoY","ZriRecordCnt"
2018-03-31,"Deer Lodge","MT",,1686,820,0.00122100122100122,0.00367197062423501,0.00861008610086101,3113
2018-03-31,"Clarke","IA",,1687,890,-0.00558659217877095,-0.0198237885462555,-0.0611814345991561,2410
2018-03-31,"Benewah","ID",,1688,1140,0.00529100529100529,0.00440528634361234,0.0555555555555556,3824
2018-03-31,"Richmond","VA",,1689,1251,-0.000798722044728434,0.00320769847634322,0.0425,1831
2018-03-31,"Brewster","TX",,1690,1353,0,-0.00294767870302137,-0.00368188512518409,2314
2018-03-31,"Hamilton","NE","Grand Island",1691,1049,0.00191021967526266,-0.010377358490566,0.0244140625,2974
2018-03-31,"Montgomery","GA","Vidalia",1692,1112,0.0018018018018018,0.00999091734786558,0.0620821394460363,1679
2018-03-31,"Stillwater","MT",,1693,1103,-0.0072007200720072,-0.027336860670194,0.025092936802974,1457
2018-03-31,"Clear Creek","CO","Denver",1694,1788,-0.00721821210438645,-0.0116086235489221,0.0130311614730878,4856
2018-03-31,"Archer","TX","Wichita Falls",1695,1319,0,-0.00901577761081893,0.00840978593272171,1786
2018-03-31,"Mathews","VA","Virginia Beach",1696,1393,-0.00357653791130186,-0.00428877769835597,-0.0014336917562724,1931
2018-03-31,"Dawson","MT",,1697,976,-0.0141414141414141,-0.0412573673870334,-0.0412573673870334,2175
2018-03-31,"Turner","GA",,1698,940,0,0.00213219616204691,0.0409745293466224,1696
2018-03-31,"Benton","IN","Lafayette-West Lafayette",1699,795,-0.00250941028858218,-0.020935960591133,-0.0535714285714286,2990
2018-03-31,"Trimble","KY","Louisville/Jefferson County",1700,1058,0.0028436018957346,0.0124401913875598,0.0182868142444658,2061
2018-03-31,"Clearwater","ID",,1701,1174,-0.0033955857385399,-0.0101180438448567,-0.000851063829787234,2087
2018-03-31,"Seminole","GA",,1702,903,0,0.00444938820912125,0.05,2824
2018-03-31,"Platte","WY",,1703,991,0.00711382113821138,0.0355276907001045,-0.0397286821705426,3389
2018-03-31,"Oscoda","MI",,1704,794,0,-0.00251256281407035,0.0392670157068063,4780
2018-03-31,"Gallatin","KY","Cincinnati",1705,959,0,0,0.0180467091295117,2214
2018-03-31,"Franklin City","VA",,1706,1096,-0.00454132606721163,-0.00454132606721163,0.0262172284644195,2913
2018-03-31,"Clay","KS",,1707,843,-0.0105633802816901,-0.0243055555555556,-0.0140350877192982,2921
2018-03-31,"Washakie","WY",,1708,986,0.00715015321756895,0.0613562970936491,0.0102459016393443,3042
2018-03-31,"Somervell","TX","Dallas-Fort Worth",1709,1538,0.00326157860404436,-0.00259403372243839,0.00918635170603675,1386
2018-03-31,"Decatur","IA",,1710,877,-0.00566893424036281,-0.0233853006681514,-0.100512820512821,2348
2018-03-31,"Hamilton","IL",,1711,1101,0.00364630811303555,0.00364630811303555,-0.009000900090009,1097
2018-03-31,"Lyon","KY",,1712,1057,0,-0.0167441860465116,0.0163461538461538,1933
2018-03-31,"McCulloch","TX",,1713,1041,-0.00191754554170662,0.00192492781520693,0.0166015625,2966
2018-03-31,"Kit Carson","CO",,1714,1383,-0.00216450216450216,0.00144822592324403,0.0406320541760722,1224
2018-03-31,"Conejos","CO",,1715,1216,0.00247320692497939,0.00829187396351575,0.0555555555555556,2712
2018-03-31,"Doddridge","WV","Clarksburg",1716,816,0.00245700245700246,0.02,0.0174563591022444,2403
2018-03-31,"Traill","ND",,1717,884,-0.0242825607064018,-0.0645502645502646,0.0243337195828505,1894
2018-03-31,"Lincoln","GA","Augusta",1718,1136,0.00264783759929391,0.00530973451327434,0.0252707581227437,2203
2018-03-31,"Doniphan","KS","St. Joseph",1719,864,-0.00575373993095512,-0.0192962542565267,0.0140845070422535,2617
2018-03-31,"Lemhi","ID",,1720,1140,0.00175746924428822,-0.0121317157712305,-0.0363482671174979,2820
2018-03-31,"Perry","TN",,1721,745,-0.00267737617135207,0,0.00134408602150538,6672
2018-03-31,"Lake","OR",,1722,1204,-0.00578034682080925,0.00753138075313808,0.102564102564103,1075
2018-03-31,"Kingman","KS","Wichita",1723,762,0,0.016,0.00263157894736842,2561
2018-03-31,"Power","ID",,1724,1116,-0.00357142857142857,-0.00711743772241993,0.0229147571035747,1800
2018-03-31,"Jefferson","MS",,1725,769,-0.0128369704749679,-0.0314861460957179,-0.0278128950695322,818
2018-03-31,"Forest","PA",,1726,945,-0.00105708245243129,0.00853788687299893,0.0350492880613363,1341
2018-03-31,"Madison","MT",,1727,1183,-0.0108695652173913,-0.0319148936170213,-0.0166251039068994,1219
2018-03-31,"Adair","IA",,1728,899,-0.00221975582685905,-0.0174863387978142,-0.0486772486772487,2079
2018-03-31,"Worth","IA","Mason City",1729,867,-0.00115207373271889,-0.0302013422818792,-0.0192307692307692,2489
2018-03-31,"Ferry","WA",,1730,1274,0.00473186119873817,0.0315789473684211,0.103030303030303,2187
2018-03-31,"Schuyler","IL",,1731,976,0.00102564102564103,0.0093071354705274,0.0449678800856531,1234
2018-03-31,"Union","IN","Cincinnati",1732,867,-0.0125284738041002,-0.0269360269360269,-0.00115207373271889,2245
2018-03-31,"Pepin","WI",,1733,1015,-0.00196656833824975,-0.000984251968503937,-0.0259117082533589,2430
2018-03-31,"Pembina","ND",,1734,694,-0.0128022759601707,-0.0928104575163399,-0.182567726737338,1501
2018-03-31,"Refugio","TX",,1735,1192,-0.0016750418760469,0.00168067226890756,0.000839630562552477,2515
2018-03-31,"Rappahannock","VA","Washington",1736,1438,0.0105411103302881,0.0382671480144404,0.0133897110641297,4383
2018-03-31,"Lake","CO",,1737,1419,0.00495750708215297,0.0150214592274678,0.0565897244973939,3515
2018-03-31,"Charles City","VA","Richmond",1738,1199,0,0.00250836120401338,0.0380952380952381,2815
2018-03-31,"Weston","WY",,1739,989,0.0164439876670093,0.0611587982832618,-0.0379377431906615,2206
2018-03-31,"Winkler","TX",,1740,895,0.00223964165733483,0.00674915635545557,0.0299194476409666,1725
2018-03-31,"Surry","VA",,1741,1196,-0.00166944908180301,-0.00416319733555371,0.0301464254952627,4730
2018-03-31,"Lexington City","VA",,1742,1269,0.00316205533596838,0.00316205533596838,0.0225624496373892,1986
2018-03-31,"Childress","TX",,1743,1101,0.00364630811303555,0.00639853747714808,0.0280112044817927,2496
2018-03-31,"Pawnee","KS",,1744,736,0.00136054421768707,0.023643949930459,0.00409276944065484,2272
2018-03-31,"Grand Isle","VT","Burlington",1745,1634,0.0061576354679803,0.0199750312109863,0.0460947503201024,3075
2018-03-31,"Caribou","ID",,1746,1164,0.0104166666666667,0.00518134715025907,0.00954032957502168,1476
2018-03-31,"La Salle","TX",,1747,1124,-0.00530973451327434,-0.000888888888888889,0.00267618198037466,1289
2018-03-31,"Talbot","GA",,1748,1039,0,0.00386473429951691,0.045271629778672,1684
2018-03-31,"Cameron","LA","Lake Charles",1749,1243,0.00647773279352227,0.0247320692497939,0.0171849427168576,1285
2018-03-31,"Fulton","KY","Union City",1750,797,0.00886075949367089,-0.00623441396508728,-0.00499375780274657,1434
2018-03-31,"Pershing","NV",,1751,1195,-0.000836120401337793,0.00167644593461861,0.107506950880445,523
2018-03-31,"Huerfano","CO",,1752,1170,-0.00170648464163823,0.00688468158347677,0.0326566637246249,1376
2018-03-31,"Rio Blanco","CO",,1753,1387,0.000721500721500722,-0.00143988480921526,0.0146305779078274,2180
2018-03-31,"Buena Vista City","VA",,1754,902,0.00333704115684093,-0.0077007700770077,0.0415704387990762,2442
2018-03-31,"Garza","TX",,1755,978,0.00410677618069815,0.0219435736677116,0.0338266384778013,1496
2018-03-31,"Sullivan","PA",,1756,1151,-0.000868055555555556,0.00699912510936133,0.0322869955156951,2315
2018-03-31,"Moore","TN","Tullahoma",1757,1160,0.00781928757602085,0.0247349823321555,0.0593607305936073,3443
2018-03-31,"Essex","VT","Berlin",1758,1427,0.00210674157303371,0.0156583629893238,0.1535974130962,2013
