"Date","RegionName","State","Metro","SizeRank","Zri","MoM","QoQ","YoY","ZriRecordCnt"
2018-03-31,"Henrico","VA","Richmond",201,1445,-0.000691562932226833,-0.000691562932226833,0.0493827160493827,93707
2018-03-31,"Davis","UT","Ogden",202,1614,0.00749063670411985,0.0176544766708701,0.0767178118745831,87456
2018-03-31,"Albany","NY","Albany",203,1724,0.0129259694477086,0.0385542168674699,0.0329538645895746,69548
2018-03-31,"Lorain","OH","Cleveland",204,1066,0.0018796992481203,0.017175572519084,0.0113851992409867,101916
2018-03-31,"Larimer","CO","Fort Collins",205,1759,0.00285062713797035,0.0126655152561888,0.0238649592549476,107611
2018-03-31,"Northampton","PA","Allentown",206,1461,0.00343406593406593,-0.00476839237057221,-0.00476839237057221,93465
2018-03-31,"Escambia","FL","Pensacola",207,1085,0.0111835973904939,0.0353053435114504,0.0679133858267717,106618
2018-03-31,"Dutchess","NY","New York",208,2024,0.000494315373208107,0.013013013013013,0.0390143737166324,74067
2018-03-31,"Lake","FL","Orlando",209,1377,0,0.000726744186046512,0.0162361623616236,101739
2018-03-31,"Fayette","KY","Lexington",210,1242,0.00242130750605327,0.00242130750605327,0.011400651465798,92960
2018-03-31,"Winnebago","IL","Rockford",211,1036,-0.0123927550047664,-0.0180094786729858,-0.0607434270172258,86854
2018-03-31,"Rockingham","NH","Boston",212,2015,0.00248756218905473,-0.00787789266371246,0.0516701461377871,114423
2018-03-31,"Boulder","CO","Boulder",213,2239,0.00313620071684588,0.00629213483146067,0.0163413527008625,98956
2018-03-31,"Anchorage","AK","Anchorage",214,1885,-0.00527704485488127,-0.0172054223149114,-0.0377743746809597,73806
2018-03-31,"Galveston","TX","Houston",215,1651,-0.00120992135511192,0.00548112058465286,0.0261031696706029,107719
2018-03-31,"Gloucester","NJ","Philadelphia",216,1753,0.00114220445459737,0.00400916380297824,-0.00397727272727273,94384
2018-03-31,"Howard","MD","Baltimore",217,2464,-0.00484652665589661,-0.00564971751412429,-0.00404203718674212,96574
2018-03-31,"Douglas","CO","Denver",218,2460,0.000406669377795852,0.00162866449511401,0.00902378999179656,100569
2018-03-31,"Lancaster","NE","Lincoln",219,1317,0.00152091254752852,0.00765110941086458,0.036191974822974,82600
2018-03-31,"Spartanburg","SC","Spartanburg",220,1153,-0.00259515570934256,-0.00774526678141136,-0.000866551126516464,87713
2018-03-31,"Cumberland","ME","Portland",221,1824,0.00164744645799012,-0.00382304751501912,0.00164744645799012,89021
2018-03-31,"Ingham","MI","Lansing",222,1232,0.00900900900900901,0.0275229357798165,0.107913669064748,71158
2018-03-31,"Erie","PA","Erie",223,936,-0.0126582278481013,-0.0448979591836735,-0.0526315789473684,74293
2018-03-31,"Lubbock","TX","Lubbock",224,1165,-0.00171379605826907,-0.00851063829787234,-0.0210084033613445,77842
2018-03-31,"Saint Lucie","FL","Port St. Lucie",225,1494,0.0047074646940148,0.0135685210312076,0.0573248407643312,111481
2018-03-31,"Leon","FL","Tallahassee",226,1249,-0.0023961661341853,-0.00398724082934609,0.0365145228215768,74923
2018-03-31,"Greene","MO","Springfield",227,847,0.00118203309692671,0.00953516090584029,0.00118203309692671,89754
2018-03-31,"Hamilton","IN","Indianapolis",228,1703,0.00412735849056604,0.0106824925816024,0.011883541295306,115579
2018-03-31,"Atlantic","NJ","Atlantic City",229,1493,-0.00466666666666667,-0.0112582781456954,-0.0145214521452145,105147
2018-03-31,"New London","CT","New London",230,1542,-0.00258732212160414,-0.0146964856230032,0.000648929266709929,81058
2018-03-31,"Saint Clair","IL","St. Louis",231,902,0,0.00333704115684093,-0.00331491712707182,79421
2018-03-31,"San Luis Obispo","CA","San Luis Obispo",232,2527,-0.00315581854043392,0.00637196336121067,0.0520399666944213,79658
2018-03-31,"Horry","SC","Myrtle Beach",233,1302,0.000768639508070715,-0.00153374233128834,0.0508474576271186,147037
2018-03-31,"Madison","IL","St. Louis",234,965,-0.00206825232678387,-0.0203045685279188,-0.00206825232678387,91742
2018-03-31,"Osceola","FL","Orlando",235,1392,0.00650759219088937,0.0160583941605839,0.045045045045045,101455
2018-03-31,"Dauphin","PA","Harrisburg",236,1259,0.00559105431309904,0.0186084142394822,0.0422185430463576,82571
2018-03-31,"Durham","NC","Durham",237,1366,0.00220102714600147,0.000732600732600733,0.0216903515332835,77611
