"Date","RegionName","State","Metro","County","City","SizeRank","Zri","MoM","QoQ","YoY","ZriRecordCnt"
2018-03-31,"46375","IN","Chicago","Lake","Schererville",4422,1562,0.000640614990390775,-0.00446144040790312,0.0195822454308094,11426
2018-03-31,"35124","AL","Birmingham","Shelby","Pelham",4423,1303,0.000768049155145929,-0.0143721633888048,-0.0113808801213961,8653
2018-03-31,"33314","FL","Miami-Fort Lauderdale","Broward","Davie",4424,1690,0.00059206631142688,0.00535395597858418,0.0311165344722392,5172
2018-03-31,"34769","FL","Orlando","Osceola","Saint Cloud",4425,1303,0.00307929176289453,0.00773395204949729,0.053354890864996,7416
2018-03-31,"71446","LA","Fort Polk South","Vernon","Leesville",4426,1202,-0.0024896265560166,0.0067001675041876,0.0424978317432784,5213
2018-03-31,"46221","IN","Indianapolis","Marion","Indianapolis",4427,1064,0.00282752120640905,0.0104463437796771,0.0250481695568401,8361
2018-03-31,"93901","CA","Salinas","Monterey","Salinas",4428,2431,0.00288778877887789,0.00871369294605809,0.0901345291479821,5552
2018-03-31,"97838","OR","Hermiston-Pendleton","Umatilla","Hermiston",4429,1379,0.00730460189919649,0.0502665651180503,0.134046052631579,4810
2018-03-31,"98338","WA","Seattle","Pierce","Graham",4430,1862,0.00648648648648649,0.0130576713819369,0.0738177623990773,6861
2018-03-31,"20602","MD","Washington","Charles","Waldorf",4431,1754,0.00114155251141553,0.00862564692351926,0.00804597701149425,8621
2018-03-31,"33301","FL","Miami-Fort Lauderdale","Broward","Fort Lauderdale",4432,2824,-0.00212014134275618,-0.0112044817927171,-0.037163314012956,7102
2018-03-31,"44319","OH","Akron","Summit","Portage Lakes",4433,1154,-0.000865800865800866,-0.000865800865800866,-0.000865800865800866,8589
2018-03-31,"28012","NC","Charlotte","Gaston","Belmont",4434,1314,0.0053557765876052,0.0131071703932151,0.0428571428571429,7442
2018-03-31,"20784","MD","Washington","Prince Georges","New Carrollton",4435,1846,-0.00162249864791779,-0.00752688172043011,0.0255555555555556,7245
2018-03-31,"31763","GA","Albany","Lee","Leesburg",4436,1138,0.0026431718061674,0.00176056338028169,0.00176056338028169,6593
2018-03-31,"55102","MN","Minneapolis-St Paul","Ramsey","Saint Paul",4437,1460,0.00205902539464653,0.000685400959561343,0.0384068278805121,5319
2018-03-31,"38138","TN","Memphis","Shelby","Germantown",4438,1982,-0.00251635631605435,0.0050709939148073,0.0122574055158325,8828
2018-03-31,"28804","NC","Asheville","Buncombe","Asheville",4439,1842,-0.0128617363344051,-0.0181236673773987,0.0483779169038133,7335
2018-03-31,"32967","FL","Vero Beach","Indian River","Vero Beach",4440,1622,0.01375,0.0410783055198973,0.107167235494881,8662
2018-03-31,"32953","FL","Melbourne","Brevard","Merritt Island",4441,1634,0.00430239704978488,0,0.0225281602002503,8442
2018-03-31,"33328","FL","Miami-Fort Lauderdale","Broward","Davie",4442,2386,0.00209995800083998,0.00167926112510495,0.0071760236386661,9482
2018-03-31,"53189","WI","Milwaukee","Waukesha","Waukesha",4443,1751,-0.00114090131203651,-0.0157391793142215,-0.0575888051668461,8534
2018-03-31,"94603","CA","San Francisco","Alameda","Oakland",4444,2644,0.00494108703914861,0.0149712092130518,0.0538062973296134,6514
2018-03-31,"28390","NC","Dunn","Harnett","Spring Lake",4445,1005,-0.00198609731876862,-0.0156709108716944,0.0297131147540984,4041
2018-03-31,"47712","IN","Evansville","Vanderburgh","Evansville",4446,904,0.0134529147982063,0.0378874856486797,0.0523864959254948,8274
2018-03-31,"75205","TX","Dallas-Fort Worth","Dallas","University Park",4447,7135,-0.0039089766857462,-0.0418960655297435,-0.158509258167237,6407
2018-03-31,"61822","IL","Champaign-Urbana","Champaign","Champaign",4448,1282,0.00786163522012579,-0.0031104199066874,-0.0183767228177642,7791
2018-03-31,"80904","CO","Colorado Springs","El Paso","Colorado Springs",4449,1506,0.00803212851405622,0.0210169491525424,0.085014409221902,7197
2018-03-31,"02478","MA","Boston","Middlesex","Belmont",4450,3448,-0.0306438009558617,-0.0311885361056477,0.0502589095339628,6149
2018-03-31,"33901","FL","Fort Myers","Lee","Fort Myers",4451,1314,0,0.0053557765876052,0.00381970970206264,6380
2018-03-31,"33625","FL","Tampa","Hillsborough","Citrus Park",4452,1511,0.0100267379679144,0.0175084175084175,0.0237127371273713,7745
2018-03-31,"66104","KS","Kansas City","Wyandotte","Kansas City",4453,792,0.00126422250316056,0.00380228136882129,0.0179948586118252,9963
2018-03-31,"45331","OH","Greenville","Darke","Greenville",4454,1006,0.00399201596806387,0.0141129032258064,0.0468262226847034,6009
2018-03-31,"48329","MI","Detroit","Oakland","Waterford",4455,1377,-0.00792507204610951,-0.0185317177476835,0.0192450037009623,8352
2018-03-31,"33596","FL","Tampa","Hillsborough","Valrico",4456,1698,0.000589275191514437,-0.0017636684303351,-0.0324786324786325,10175
2018-03-31,"95824","CA","Sacramento","Sacramento","Sacramento",4457,1448,0.00277008310249307,0.0104675505931612,0.0978013646702047,5967
2018-03-31,"20721","MD","Washington","Prince Georges","Bowie",4458,2494,0.00402576489533011,0.00523982265215639,0.0171288743882545,9969
