"RegionName","City","State","Metro","CountyName","SizeRank","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03"
"60657","Chicago","IL","Chicago","Cook",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.76428571428571,1.74330357142857,1.75,1.71261755485893,1.75378787878788,1.78465517241379,1.61875,1.8,1.82307692307692,1.88181818181818,1.86,1.8,1.6969696969697,1.6875,1.65,1.6969696969697,1.7,1.76598124098124,1.80555555555556,1.80981595092025,1.895,1.95833333333333,1.93333333333333,1.87096774193548,1.8125,1.81545454545455,1.8077380952381,1.75714285714286,1.85,1.89760312151616,1.99375,1.99,1.97558479532164,1.99,1.98979166666667,1.89,1.85,1.795,1.79342857142857,1.8047619047619,1.84807692307692,1.88257575757576,1.9047619047619
"10023","New York","NY","New York","New York",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.02921129503408,5.1460970464135,5.06172839506173,5.04514879739095,4.85097636176773,4.94444444444444,5.07246376811594,5.20628683693517,5.07692307692308,5.02225519287834,5.17155425219941,5
"60614","Chicago","IL","Chicago","Cook",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.34586466165414,2.22215719063545,2.3551872737176,2.11926308985133,2.1,2.12592592592593,2.1523178807947,2.2,2.14688466470544,2.07865168539326,2.07865168539326,2,2.06781609195402,2.0952380952381,2.14935298346513,2.14485981308411,2.13333333333333,2.12903225806452,2.14285714285714,2.13267195767196,2.10998981670061,2.13392857142857,2.08388888888889,2.10831108144192,2.125,2.15533991120953,2.11305555555556,2.16955941255007
"60640","Chicago","IL","Chicago","Cook",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.726,1.7,1.7,1.71592148309706,1.69115384615385,1.65,1.65625,1.67261904761905,1.64285714285714,1.67261904761905,1.59833333333333,1.66666666666667,1.75,1.77386363636364
"94109","San Francisco","CA","San Francisco","San Francisco",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.51879521750552,4.66666666666667,4.46969696969697,4.44074074074074,4.44444444444444,4.54136690647482,4.53729027549953,4.58762886597938,4.58762886597938,4.36257357750164,4.36363636363636,4.44388014220416,4.49494949494949,4.58793208004851,4.72330150008721,4.58957219251337,4.58333333333333,4.85714285714286,4.95010024594755,4.95750708215297,4.81363636363636,4.94269340974212,4.95750708215297,4.88668555240793,4.51943345323741,4.63917525773196,4.99107142857143,4.82638888888889,4.63542096219931,4.77564102564103,4.64916666666667,4.61538461538461,4.62352564102564,4.40375825292026,4.32149161518094,4.44388014220416,4.51414141414141,4.44444444444444,4.4995,4.63541666666667,4.69835945399393,4.77346448005792,4.55497382198953,4.83822115384615,4.58135860979463,4.60317930489731,4.63157894736842,4.66939890710383,4.88668555240793,4.94269340974212,4.71631205673759,4.53384134797425,4.62514318442154
"10016","New York","NY","New York","New York",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.11111111111111,4.99166666666667,4.96103896103896,4.99833333333333,5.05555555555556,5.10733070348455,5.12429775280899,5.125,4.99166666666667,5.09090909090909,5,5.19187279151943,5,5.16878052336176,4.9984375,4.91132332878581,4.95779220779221,5.20044642857143,5.12445095168375,5.25147928994083,5.1535843175853,5.25073964497041,5.27928571428571,5.33164128595601,5.09090909090909,5.02459733087897,4.96103896103896,4.96350364963504,5.09525534226729,5.14308588064047,5.21428571428571,5.09090909090909
"11375","New York","NY","New York","Queens",7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.41287878787879,2.395,2.36363636363636,2.43697033898305,2.43561164333088,2.42857142857143,2.44444444444444,2.4542665923034,2.4,2.35,2.33333333333333,2.28571428571429,2.39285714285714,2.31372549019608,2.33333333333333,2.30965063449788,2.33723958333333,2.35714285714286,2.35714285714286,2.33333333333333,2.38925,2.38364102564103,2.45,2.43194444444444,2.41428571428571,2.37565104166667,2.40885416666667,2.425,2.45833333333333,2.40909090909091,2.43944444444444,2.4463601532567,2.46428571428571,2.46164772727273,2.41880438043804,2.46666666666667,2.42039170506912,2.42857142857143,2.49583333333333,2.43892339544513
"60647","Chicago","IL","Chicago","Cook",8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.52941176470588,1.67427884615385,1.57142857142857,1.709375,1.71164772727273,1.72002466009064,1.73684210526316,1.73684210526316,1.73,1.7,1.67894736842105,1.65,1.75,1.72916666666667,1.75,1.8,1.81704545454545
"60618","Chicago","IL","Chicago","Cook",9,,,,,,,,1.26315789473684,1.21111111111111,1.22222222222222,1.25598086124402,1.23803827751196,1.2,1.195,1.15504807692308,1.15192307692308,1.2,1.32352941176471,1.28571428571429,1.28571428571429,1.31578947368421,1.33333333333333,1.29407894736842,1.24375,1.30808823529412,1.11111111111111,1.2,1.26090909090909,1.2780701754386,1.29522727272727,1.3,1.31875,1.28392857142857,1.28571428571429,1.3,1.29,1.3,1.3,1.32071428571429,1.5,1.39444444444444,1.44444444444444,1.46029411764706,1.35147058823529,1.35,1.24038461538462,1.26229508196721,1.35208333333333,1.36619318181818,1.2094298245614,1.38888888888889,1.36363636363636,1.38883399209486,1.45454545454545,1.44444444444444,1.44444444444444,1.40208333333333,1.4,1.403125,1.41176470588235,1.41470588235294,1.47368421052632,1.5,1.41666666666667,1.47133333333333,1.55,1.54166666666667,1.5,1.47727272727273,1.39015151515152,1.45,1.5,1.476,1.5,1.5,1.5,1.475,1.47069327731092,1.44,1.42631578947368,1.41477124183007,1.40592857142857,1.475,1.5,1.5,1.54090909090909
"10029","New York","NY","New York","New York",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.29411764705882,5.21246358718269,5.29411764705882,5.21246358718269,5.4608718487395,5.50700280112045,5.52558782849239,5.49926470588235,5.52558782849239,5.1698670605613,5.15463917525773,5.02599653379549,5.02599653379549,4.61011904761905,4.55284552845528,4.58541745610711,4.81388888888889,4.7887323943662,4.62961904761905,5.02599653379549,5.06100417531724,5.02599653379549,5.02599653379549,5.02599653379549
