"Date","RegionName","State","Metro","County","City","SizeRank","Zri","MoM","QoQ","YoY","ZriRecordCnt"
2018-03-31,"87540","NM","Santa Fe","Santa Fe","Lamy",15712,2366,0.023356401384083,0.0501553484243231,0.0614625392552714,580
2018-03-31,"47847","IN","Terre Haute","Vermillion","Dana",15713,745,-0.00267737617135207,-0.0106241699867198,0.00404312668463612,420
2018-03-31,"37171","TN","Clarksville","Montgomery","Southside",15714,902,0,-0.0066079295154185,0.0624263839811543,570
2018-03-31,"54836","WI","Duluth","Douglas","Foxboro",15715,1047,-0.0214953271028037,-0.0341328413284133,-0.0473157415832575,578
2018-03-31,"08241","NJ","Atlantic City","Atlantic","Port Republic",15716,1378,-0.00791936645068395,-0.0136005726556908,0.0207407407407407,477
2018-03-31,"03740","NH","Claremont","Grafton","Bath",15717,1271,0.0103338632750397,0.0258272800645682,-0.0422004521477016,491
2018-03-31,"03875","NH",,"Carroll","Madison",15718,1463,0.0295566502463054,0.0442541042112777,0.232518955349621,486
2018-03-31,"21636","MD",,"Caroline","Goldsboro",15719,1401,0.00718907260963336,0.0159535895576505,0.0079136690647482,536
2018-03-31,"37710","TN","Knoxville","Anderson","Briceville",15720,791,0.00764331210191083,0.00892857142857143,0.0206451612903226,584
2018-03-31,"49818","MI","Escanaba","Delta","Cornell",15721,923,0.0043525571273123,0.00217155266015201,0.00654307524536532,650
2018-03-31,"21869","MD","Cambridge","Dorchester","Vienna",15722,1247,-0.00558213716108453,-0.0111022997620936,-0.00953137410643368,722
2018-03-31,"47955","IN","Crawfordsville","Montgomery","Linden",15723,863,-0.00346420323325635,-0.0148401826484018,0.0200945626477541,616
2018-03-31,"56010","MN","Mankato","Blue Earth","Amboy",15724,1261,0.0136655948553055,0.0319148936170213,-0.0232378001549187,509
2018-03-31,"17006","PA","Harrisburg","Perry","Toboyne",15725,1006,-0.00396039603960396,-0.0069101678183613,-0.0146914789422135,434
2018-03-31,"21657","MD","Baltimore","Queen Annes","Queen Anne",15726,1627,-0.00122774708410068,0.0030826140567201,0.0219849246231156,574
2018-03-31,"53069","WI","Milwaukee","Waukesha","Okauchee",15727,2333,0.00864677907479464,-0.00299145299145299,0.0336730172795747,400
2018-03-31,"95306","CA",,"Mariposa","Catheys Valley",15728,1672,-0.00535395597858418,-0.0164705882352941,0.0213805742211362,440
2018-03-31,"20680","MD","California-Lexington Park","Saint Marys","Ridge",15729,1583,-0.00502828409805154,-0.014321295143213,0.0732203389830508,599
2018-03-31,"46348","IN","Michigan City","La Porte","La Crosse",15730,896,-0.00333704115684093,0.0251716247139588,-0.0468085106382979,586
2018-03-31,"81233","CO","Canon City","Fremont","Howard",15731,1279,0.0150793650793651,0.0240192153722978,0.0110671936758893,471
2018-03-31,"04978","ME",,"Somerset","Smithfield",15732,1177,0.0217013888888889,0.0360915492957746,0.0462222222222222,620
2018-03-31,"25843","WV","Beckley","Raleigh","Ghent",15733,1286,-0.0316265060240964,-0.0721500721500721,-0.10195530726257,427
2018-03-31,"61770","IL","Bloomington","McLean","Saybrook",15734,923,-0.00965665236051502,-0.00431499460625674,-0.0543032786885246,436
2018-03-31,"20674","MD","California-Lexington Park","Saint Marys","Piney Point",15735,1612,0.000620732464307883,-0.00309214594928881,0.0433656957928803,618
2018-03-31,"97011","OR","Portland","Clackamas","Brightwood",15736,1675,-0.00297619047619048,-0.00887573964497041,0.0455680399500624,532
2018-03-31,"68633","NE","Fremont","Dodge","Dodge",15737,1060,-0.00282220131702728,-0.0319634703196347,0.0311284046692607,452
2018-03-31,"56524","MN","Fergus Falls","Otter Tail","Clitherall",15738,1354,-0.00294550810014728,-0.012399708242159,0.0351681957186544,697
2018-03-31,"56578","MN",,"Becker","Rochert",15739,1393,-0.00357653791130186,-0.00357653791130186,0.0167883211678832,641
2018-03-31,"46057","IN","Frankfort","Clinton","Michigantown",15740,1064,-0.000938967136150235,-0.00838769804287046,0.0104463437796771,455
2018-03-31,"49268","MI","Adrian","Lenawee","Palmyra",15741,1028,0.00685602350636631,0.0168150346191889,0.114967462039046,433
2018-03-31,"51004","IA","Sioux City","Woodbury","Anthon",15742,842,-0.0152046783625731,-0.0496613995485327,-0.0399087799315849,462
2018-03-31,"83868","ID",,"Shoshone","Smelterville",15743,834,-0.00239234449760766,0.00846432889963724,0.113484646194927,437
2018-03-31,"36749","AL","Montgomery","Autauga","Jones",15744,1036,0.0186823992133727,0.0702479338842975,0.146017699115044,602
2018-03-31,"93529","CA",,"Mono","June Lake",15745,2014,0.000496770988574267,-0.00247647350173353,0.0701381509032944,773
2018-03-31,"97823","OR",,"Gilliam","Condon",15746,1229,0.00244698205546493,0.00408496732026144,0.0576592082616179,462
2018-03-31,"52341","IA","Cedar Rapids","Linn","Toddville",15747,1489,0.0268965517241379,0.0545325779036827,0.0782041998551774,443
2018-03-31,"68456","NE","Lincoln","Seward","Utica",15748,1107,0.00180995475113122,0.00453720508166969,0.00271739130434783,489
2018-03-31,"49725","MI","Sault Ste. Marie","Chippewa","De Tour Village",15749,924,0.0065359477124183,-0.0149253731343284,0.0065359477124183,749
2018-03-31,"56661","MN",,"Itasca","Northome",15750,1173,0.0051413881748072,0.022667829119442,0.0191138140747176,480
2018-03-31,"98940","WA","Ellensburg","Kittitas","Ronald",15751,1814,0.0225479143179256,0.0491613649508386,0.0645539906103286,325
2018-03-31,"91008","CA","Los Angeles-Long Beach-Anaheim","Los Angeles","Bradbury",15752,7042,0.025633556655986,0.0535607420706164,0.114946168461051,453
2018-03-31,"52053","IA","Dubuque","Dubuque","Holy Cross",15753,1009,0.01001001001001,0.0466804979253112,0.0181634712411705,496
2018-03-31,"55724","MN","Duluth","Saint Louis","Cotton",15754,961,0.00417972831765935,-0.0193877551020408,-0.0714975845410628,553
2018-03-31,"54027","WI","Minneapolis-St Paul","Saint Croix","Wilson",15755,1395,0.00649350649350649,0.03486646884273,0.0648854961832061,536
2018-03-31,"62219","IL","St. Louis","Clinton","Beckemeyer",15756,957,-0.00416233090530697,-0.0264496439471007,-0.0401203610832497,407
2018-03-31,"56016","MN","Albert Lea","Freeborn","Clarks Grove",15757,1079,0.00559179869524697,0.0131455399061033,-0.00185013876040703,465
2018-03-31,"80515","CO","Fort Collins","Larimer","Drake",15758,1420,0.00424328147100424,-0.00420757363253857,0.0364963503649635,776
2018-03-31,"46365","IN","Michigan City","La Porte","Mill Creek",15759,1124,0.00357142857142857,0.0359447004608295,-0.0409556313993174,522
2018-03-31,"98555","WA","Shelton","Mason","Lilliwaup",15760,1275,0.00710900473933649,0.02,0.0687342833193629,437
2018-03-31,"55781","MN","Duluth","Saint Louis","Side Lake",15761,1275,0.018370607028754,0.0290556900726392,0,616
2018-03-31,"73458","OK","Ardmore","Carter","Springer",15762,899,0.0250855188141391,0.0676959619952494,0.0146726862302483,569
2018-03-31,"03282","NH","Claremont","Grafton","Wentworth",15763,1351,0.00670640834575261,0.0424382716049383,0.0037147102526003,441
