"RegionName","City","State","Metro","CountyName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03"
"49424","Holland","MI","Grand Rapids","Ottawa",351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,204900,204900,196900,197400,194900,194900,179950,172450,167900,169900,179900,197400,189900,190400,187450,189900,189900,190900,189900,205900,205900,217400,229900,229900,234900,244000,240650,249955,224900,211002.5,209900,209900,223205,219900,223205
"90803","Long Beach","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,589499.5,637250,623000,564950,579949.5,585000,639250,649500,607500,704925,699000,659900,647449.5,681950,699000
"29412","Charleston","SC","Charleston","Charleston",353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,172000,166750,174000,174900,169500,168000,168000,168000,159450,164250,170000,167500,165000,170000,175000,175000,180000,175000,177500,176250,177500,174900,173450,165500,169500,179000,184950,189900,189000,189900,194037,194037,194900,199000,194500,189700,189250,196250,210000,203250,209900,209999,210000,216700,214000,213000,213000,202500,213200,205000
"68516","Lincoln","NE","Lincoln","Lancaster",354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,269475,264148,264925,269950,257450,262450,260000,247450,227500,244900,231725,225950,231225,252950,249900,257650,250400,245950,269900,247975,239509.5,242925,238459.5,247925,249900,285000
"92324","Colton","CA","Riverside","San Bernardino",355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,189000,179500,175000,189900,199999,212900,210000,213450,215000,222400,219500,219500,219500,204999,204999,215000,222000,212900,212900,209950,215000,220000,232450,229900,239000,239950,244900,240000
"37920","Knoxville","TN","Knoxville","Knox",356,82900,83900,84450,84900,82900,81400,79900,84900,89900,85950,84950,82400,84950,84000,89900,84950,85000,85000,82400,80450,79800,84900,84950,81000,79900,88450,89900,84900,88944,89900,91250,86750,89850,89900,97700,89900,93500,94500,84950,89900,89900,89900,89900,92500,99900,92500,89950,89900,89900,87500,89900,89900,89900,96500,94900,97500,95450,94900,94900,90950,94500,99900,99900,99900,111950,111000,109250,109900,112900,111799,104950,99900,104500,99900,99900,109900,111887.5,111775,114900,121900,119900,116250,114900,114900,117900,113950,114999.5,118000,117500,119000,119000,115250,114900,114500,114900,117900,115450,118900,120000
"14450","Perinton","NY","Rochester","Monroe",357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,149900,144900,144900,162000,139900,137250,157400,139900,164900,172900,173900,173950,184900,179900
"32940","Rockledge","FL","Melbourne","Brevard",358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,181450,181900,189900,189000,199900,198400,192250,192450,194500,191249.5,187500,187450,192200,192200,205000,202500,189000,189450,199167,188000
"37209","Nashville","TN","Nashville","Davidson",359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,288500,295000,272450,259900,255000,255000,259000,260000,256950,259950,259900,275000,277177,289900,294900,299900,269900,289700,294900,289900,289950,322499.5,305000,289000,298450
"60506","Aurora","IL","Chicago","Kane",360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134900,134900,132449.5,138850,139900,139900,132400,129900,134900,129200,128000,128000,137356,145000,139900,139900,142500,144900,147000,148250,141700,134900,134950,134900,143950,139900
"61554","Pekin","IL","Peoria","Tazewell",361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79900,80950,79900,79900,79000,75000,84400,81500,82900,79900,79900,69900,71500,70700,74900,76900,81200,78900,78900,80700,81750,82000,77375,74900,73200,74900,79900,79900,84900,79900,79900,83000,82500,79900,79900,79900,79250,84950,84450,72000,72000,79900,79900,79900,74900,74900,74150,74900,74150,78900,77700,78000,79900,75000,79500,79700,74900,74900,77900,75400,74900,74900,73900,79900
"97006","Beaverton","OR","Portland","Washington",362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,182425,182400,169990,179900,175500,174950,185000,175000,175000,173775,179000,191121,197000,194950,195000,199950,195950,170000,185450,189000,170000,170000,189000,199950,206500,219950,227500,229900,229900,229888,235000,235000,237450,245995,256495,260000,266490,277990,283990,280995,284990,284990,279990,274990,274945,272400,259900,265000,274990
