"RegionName","City","State","Metro","CountyName","SizeRank","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03"
"77450","Cinco Ranch","TX","Houston","Fort Bend",50,,,,,,,,,,,,,,,,2325,2350,2300,2400,2050,2100,1850,1885,2050,2300,2100,1947.5,2200,2200,2200,2300,2275,2300,2200,2400,2350,2025,2099.5,2000,2000,2200,2300,2250,2272.5,2200,2100,2100,1950,1995,1995,2100,2225,2250,2300,2300,2200,2200,2150,2187.5,2100,2095,2050,2200,2200,2425,2300,2100,1972.5,1995,1897.5,1900,1900,1900,1925,1950,1950,2000,2000,2074.5,2099.5,2100,2150,2125,2060,1990,1997.5,2100
"28078","Huntersville","NC","Charlotte","Mecklenburg",51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1937.5,1850,1825,1899,1875,1895,1855,1875,1895,1850,1797.5,1795,1795,1775,1809.5
"30062","Marietta","GA","Atlanta","Cobb",52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2100,2150,2095,2100,2000,1990,2000,2040,2060,2000,2000,2150,1925
"33186","The Crossings","FL","Miami-Fort Lauderdale","Miami-Dade",52,,2072.5,2095,2100,2200,2200,2200,2150,2150,2150,2125,2200,2197.5,2050,2095,2047.5,2100,2100,2100,2100,2250,2200,2200,2300,2300,2200,2250,2100,2200,2350,2400,2300,2300,2300,2300,2200,2270,2250,2300,2300,2300,2300,2300,2250,2300,2350,2325,2300,2300,2300,2300,2300,2250,2250,2397.5,2225,2350,2372.5,2332.5,2400,2400,2400,2400,2400,2450,2550,2400,2425,2425,2500,2500,2500,2400,2450,2350,2400,2400,2500,2500,2500,2500,2475,2450,2500,2500,2500,2500
"30052","Loganville","GA","Atlanta","Gwinnett",54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1450,1450,1479,1495,1519,1528,1599.5,1500,1507.5,1495,1495,1495,1490,1537,1550
"30331","Atlanta","GA","Atlanta","Fulton",55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1450,1475,1457.5,1460,1486,1550,1550,1600,1518,1590,1595,1645,1645,1500,1564.5
"60649","Chicago","IL","Chicago","Cook",56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1300,1250,1250,1250,1250,1350,1300,1250,1250,1250,1275,1400,1400
"32218","Jacksonville","FL","Jacksonville","Duval",57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1400,1395,1432,1497.5,1495,1495,1450,1492,1500,1550,1495,1495,1495,1486,1550
"02155","Medford","MA","Boston","Middlesex",58,,,,,,,,,,,,,,,,,,,,,,,,2750,2700,2800,2800,2800,2800,2600,2600,2600,2500,2500,2500,2400,2500,2300,2600,2700,2800,2800,2800,2700,2700,2700,2700,2500,2600,2800,2750,2800,2900,3000,2875,2800,2800,2800,2800,2700,3000,3000,2900,3000,3100,3200,3000,2800,2600,2800,2500,2725,2800,3000,2950,3000,3100,3200,3200,3000,3000,3200,3300,3200,3300,3400,3400
"30022","Johns Creek","GA","Atlanta","Fulton",59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2200,2325,2350,2300,2200,2225,2200,2200,2200,2200,2200,2100,2175,2200,2200,2200,2050,2100
"33027","Miramar","FL","Miami-Fort Lauderdale","Broward",60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2637,2644,2650,2660,2699.5,2629,2599.5,2625,2695,2695,2620,2620,2600,2520,2510
"89052","Henderson","NV","Las Vegas","Clark",60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1937.5,1900,1925,1995,1995,2150,2100,1995,1975,2050,2150,2100,2000,2097.5,2100
"75035","Frisco","TX","Dallas-Fort Worth","Collin",62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1795,1895,1990,1950,1995,1900,1900,1897.5,1875,1872.5,1900,1937.5,1850,1850,1850,1850,1875,1895,1850,1895,1972.5,1997.5,1997.5,1950,1990,1950,1995,2000,1975,2000,2050,2095,2000,2097.5,2100,2025,2000,2025,2000,2000,1997.5,2097.5,2047.5,2000,1997.5,2095,2100,2022.5,2100,2195,2125,2195,2125,2100,2095,2100,2197,2100
"34953","Port Saint Lucie","FL","Port St. Lucie","Saint Lucie",63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1600,1674.5,1700,1700,1675,1650,1675,1695,1650,1687.5,1650,1650,1675,1675,1745
"91710","Chino","CA","Riverside","San Bernardino",64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2499,2500,2550,2525,2587.5,2500,2522,2550,2625,2500,2550,2525,2500,2600,2600
"32225","Jacksonville","FL","Jacksonville","Duval",65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1680,1774.5,1650,1700,1767,1750,1945,1950,1850,1795,1795,1750,1750,1750,1892
"30004","Milton","GA","Atlanta","Fulton",66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2400,2350,2200,2247.5,2300,2225,2225,2250,2300,2200,2200,2250
"89123","Las Vegas","NV","Las Vegas","Clark",67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1699,1600,1635,1635,1650,1650,1675,1625,1768,1695,1700,1700,1700,1700,1700
"94509","Antioch","CA","San Francisco","Contra Costa",68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2137.5,2250,2200,2250,2200,2350,2295,2350,2200,2250,2189.5,2200,2345,2400,2372.5
"32828","Orlando","FL","Orlando","Orange",69,,,,,,,1600,1595,1575,1400,1425,1550,1500,1525,1572.5,1550,1500,1550,1550,1500,1500,1550,1550,1500,1550,1595,1595,1585,1595,1550,1595,1675,1595,1595,1595,1595,1595,1595,1595,1595,1637.5,1650,1595,1625,1600,1595,1562.5,1562.5,1595,1600,1637.5,1695,1700,1685,1700,1700,1600,1600,1625,1699.5,1695,1680,1650,1625,1600,1685,1725,1725,1695,1600,1700,1650,1797.5,1812.5,1725,1845,1800,1800,1877.5,1849.5,1812.5,1895,1900,1849,1900,1862.5,1850
"89031","North Las Vegas","NV","Las Vegas","Clark",70,,,,,1225,1250,1250,1250,1250,1200,1200,1197.5,1200,1200,1225,1275,1250,1200,1195,1195,1195,1200,1195,1195,1195,1199.5,1200,1195,1200,1212.5,1200,1200,1200,1250,1200,1195,1195,1195,1195,1195,1195,1197.5,1200,1200,1225,1250,1200,1200,1200,1200,1250,1250,1295,1297.5,1295,1250,1250,1275,1250,1250,1250,1250,1250,1275,1295,1300,1325,1374.5,1349.5,1320,1299.5,1337.5,1300,1325,1350,1375,1300,1400,1400,1400,1395,1400,1385,1350,1390,1395,1400
"33157","Village of Palmetto Bay","FL","Miami-Fort Lauderdale","Miami-Dade",71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2600,2899.5,2900,2751,3200,3200,2675,2817.5,3095,3190,3000,3075,3100
"75002","Allen","TX","Dallas-Fort Worth","Collin",72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1975,1900,1950,1995,2000,2011.5,2000,2000,2050,1975,1950,1960,1950,1950,2000
"77083","Mission Bend","TX","Houston","Fort Bend",73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1600,1600,1600,1620,1615,1612.5,1650,1650,1675,1700,1650,1650,1650
"30253","McDonough","GA","Atlanta","Henry",74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1399,1425,1434,1400,1397.5,1432,1460,1495,1460,1445,1447.5,1450,1430,1425,1450
"33511","Brandon","FL","Tampa","Hillsborough",75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1600,1649.5,1650,1637.5,1630,1650,1650,1629.5,1595,1550,1550,1650,1685,1690,1705
"60637","Chicago","IL","Chicago","Cook",76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1300,1325,1300,1300,1300,1300,1300,1275,1275,1300,1325,1350,1300,1250,1300,1350
"94513","Brentwood","CA","San Francisco","Contra Costa",77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2495,2400,2495,2500,2497.5,2450,2400,2400,2375,2400,2400,2400,2550,2695,2625,2600,2600,2695,2650,2580,2597.5,2500,2500,2595
"10031","New York","NY","New York","New York",78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3300,3450,3400,3400,3500,3484,3547.5,3400,3500,3400,3247.5,3345.5,3395,3492,3395
"89074","Henderson","NV","Las Vegas","Clark",79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1637.5,1650,1510,1650,1587.5,1724.5,1750,1750,1725,1700,1750,1795,1799.5,1600,1600,1750,1795,1795,1795,1750
"77346","Atascocita","TX","Houston","Harris",80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1800,1700,1637.5,1600,1625,1650,1700,1785,1700,1700,1744.5,1714.5,1700,1762.5,1795,1800,1762.5,1750,1775,1767,1799.5,1775,1754.5,1775,1750,1787,1824.5,1995,1825,1729,1727,1800,1750,1725,1719,1625,1790,1799.5,1792,1795,1795,1800,1785,1795,1750,1750,1750,1750,1795,1782.5,1850
"19104","Philadelphia","PA","Philadelphia","Philadelphia",81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2400,2400,2400,2400,2400,2282.5,2400,2300,2200,2400,2500,2500,2500,2500
"30101","Acworth","GA","Atlanta","Cobb",82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1645,1635,1599,1597.5,1665,1620,1622.5,1625,1600,1597.5,1625,1695,1697
"92620","Irvine","CA","Los Angeles-Long Beach-Anaheim","Orange",83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3800,4000,4100,4075,4000,4272.5,4000,4000,4050,4050,4095,4200,4000,4000,4000
"89148","Las Vegas","NV","Las Vegas","Clark",84,,,,,,,,,,,,,1520,1495,1495,1450,1445,1495,1400,1395,1400,1395,1350,1350,1350,1350,1395,1495,1500,1475,1475,1450,1472.5,1450,1395,1400,1400,1450,1450,1450,1500,1522.5,1450,1500,1500,1450,1450,1462.5,1495,1450,1450,1499,1450,1400,1500,1595,1495,1495,1535,1500,1595,1595,1550,1495,1550,1550,1500,1450,1497,1495,1572.5,1500,1575,1632.5,1625,1650,1650,1600,1650,1695,1650,1650,1650,1650,1650,1650,1695
"78254","San Antonio","TX","San Antonio","Bexar",85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1512.5,1650,1695,1650,1650,1600,1597.5,1650,1725,1650,1600,1562.5,1600,1595,1600
"77070","Houston","TX","Houston","Harris",86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1647,1625,1795,1700,1747.5,1700,1700,1700,1695,1750,1700,1750,1797.5,1800
