"RegionType","RegionName","City","State","Metro","CBSATitle","SizeRank","MarketHealthIndex","SellForGain","PrevForeclosed","ForeclosureRatio","ZHVI","MoM","YoY","ForecastYoYPctChange","StockOfREOs","NegativeEquity","Delinquency","DaysOnMarket"
"Zip","60107","Streamwood","IL","Chicago, IL","""Chicago-Naperville-Elgin, IL-IN-WI""",,2.23619793628079,69.23,,,192418,0.572330561406626,6.21908673379262,0.0388321258925881,,0.175234091343398,0.0556161395856052,107
"Zip","60108","Bloomingdale","IL","Chicago, IL","""Chicago-Naperville-Elgin, IL-IN-WI""",,2.46139941251789,86.36,,,277329,-0.379330782908562,3.46514152685597,0.0361700363106634,,0.114840062926062,0.0365296803652968,103.5
"Zip","60110","Carpentersville","IL","Chicago, IL","""Chicago-Naperville-Elgin, IL-IN-WI""",,4.29238532801085,37.93,,,161718,1.11356346561459,9.12219380697575,0.0502726969168552,,0.211120331950207,0.0432389937106918,110
"Zip","60112","Cortland","IL","Chicago, IL","""Chicago-Naperville-Elgin, IL-IN-WI""",,7.00082850041425,100,,,166280,0.701909508784467,6.03712702390746,0.0444671638200624,,0.216799091940976,0.0523560209424084,114
"Zip","60115","Dekalb","IL","Chicago, IL","""Chicago-Naperville-Elgin, IL-IN-WI""",,2.50734352639904,44.44,,,137295,1.11577551922227,3.91925338904153,0.0382096944535488,,0.223225176872408,0.0404371584699454,125
"Zip","60118","West Dundee","IL","Chicago, IL","""Chicago-Naperville-Elgin, IL-IN-WI""",,4.66822324320253,46.67,,,254102,0.804525655164753,5.6034643980733,0.0380122942755272,,0.134020618556701,0.0371352785145889,108
"Zip","60119","Elburn","IL","Chicago, IL","""Chicago-Naperville-Elgin, IL-IN-WI""",,3.80733599457709,33.33,,,281698,0.833664436641145,3.40652967131394,0.032992779501452,,0.116803278688525,0.0350877192982456,108
"Zip","60120","Elgin","IL","Chicago, IL","""Chicago-Naperville-Elgin, IL-IN-WI""",,6.21224674248701,60,,,169265,0.702624878037172,9.12226412661574,0.0508787995155526,,0.18351709960755,0.0417515274949084,102
"Zip","60123","Elgin","IL","Chicago, IL","""Chicago-Naperville-Elgin, IL-IN-WI""",,3.15658657829329,71.43,,,176112,0.713697502058743,5.98366723034983,0.0393158898882529,,0.156431054461182,0.0555555555555556,105
"Zip","60126","Elmhurst","IL","Chicago, IL","""Chicago-Naperville-Elgin, IL-IN-WI""",,0.906078180311817,92,,,382270,-0.557732028490117,-1.93326936989169,0.0198367645904727,,0.0753433616742969,0.0190972222222222,131
"Zip","60130","Forest Park","IL","Chicago, IL","""Chicago-Naperville-Elgin, IL-IN-WI""",,0.320855614973262,92.31,,,179656,-0.232126792318713,-0.0478463575569427,0.0248530525003339,,0.283746556473829,0.0466019417475728,114.5
"Zip","60131","Franklin Park","IL","Chicago, IL","""Chicago-Naperville-Elgin, IL-IN-WI""",,4.79174512314529,100,,,185855,0.366678187238087,7.32021388398064,0.0424685911059697,,0.172700790678319,0.0530120481927711,120
"Zip","60133","Hanover Park","IL","Chicago, IL","""Chicago-Naperville-Elgin, IL-IN-WI""",,1.09813963997891,87.1,,,196371,0.208202568852283,4.52605020546341,0.0396545314735883,,0.159849198868992,0.071933962264151,111
"Zip","60134","Geneva","IL","Chicago, IL","""Chicago-Naperville-Elgin, IL-IN-WI""",,5.37621450628907,72.73,,,337408,1.09451543797097,4.95523799451284,0.0338996111532626,,0.0926910299003322,0.0125448028673835,119
