"RegionName","City","State","Metro","CountyName","SizeRank","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03"
"11356","New York","NY","New York","Queens",464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2050,2200,2100,2050,2000,2100,2200,2200,2175,2200,2250,2300,2300,2200,2075,2200,2200
"33305","Fort Lauderdale","FL","Miami-Fort Lauderdale","Broward",465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1250,1475,1560,1580,1697.5,1540,1445,1450,1450,1275,1300,1275,1400,1250,1400
"14222","Buffalo","NY","Buffalo","Erie",466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1200,1325,1300,1297.5,1300,1200,1150,1150,1172.5,1100,1150,1200,1250
"10018","New York","NY","New York","New York",467,,,,,,,,,,,,,,,,,,3225,3292,3250,3280,3297.5,3295,3369,3350,3392,3320,3250,3290,3300,3330,3320,3390,3359.5,3380,3400,3360,3300,3300,3300,3300,3300,3320,3400,3454,3450,3475,3475,3450,3495,3450,3550,3700,3620,3607.5,3595,3595,3660,3630,3620,3577.5,3507.5,3450,3417.5,3415,3475,3417.5,3595,3430,3450,3495,3495,3450,3500,3588,3479,3470,3495,3400,3392.5,3368,3395,3695,3672.5,3667,3592.5,3595,3485,3500,3595
"10005","New York","NY","New York","New York",468,,,,,,,,,,,,,,3295,3245,3295,3436,3397.5,3364,3436,3500,3500,3447.5,3397.5,3497.5,3411,3336.5,3350,3295,3216,3237.5,3200,3216,3275,3295,3400,3492.5,3401,3450,3400,3395,3395,3395,3350,3500,3500,3397.5,3489,3482.5,3500,3495,3425,3497,3595,3895,3495,3550,3425,3410,3450,3395,3407.5,3300,3273.5,3275,3355,3494,3429,3514,3375,3429,3412,3494,3369.5,3275,3250,3309,3335,3351,3563,3620,3790,3700,3595,3695,3491,3570,3500,3582.5,3525
"15203","Pittsburgh","PA","Pittsburgh","Allegheny",469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1575,1422.5,1445,1472.5,1422.5,1395,1499.5,1490,1350,1445,1320,1260,1320,1350,1422.5
"15211","Pittsburgh","PA","Pittsburgh","Allegheny",470,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1099,1022.5,1050,947.5,947.5,925,900,900,899,850,862.5,999
"77801","Bryan","TX","College Station","Brazos",471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,700,747.5,750,750,750,725,775,707.5,700,725,725,725,729,750
"10601","White Plains","NY","New York","Westchester",472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2395,2395,2347.5,2347.5,2250,2125,2125,1999.5,1900,1950,1974.5,2060,1974.5
"10606","White Plains","NY","New York","Westchester",473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000,2100,2200,2200,2200,2250,2220,2265,2195,2000,1995,1995,2195,2050
"02120","Boston","MA","Boston","Suffolk",474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3800,3800,3600,3572.5,3450,3400,3400,3400,3500,3450,3600,3800,3800,3675,3500
"02458","Newton","MA","Boston","Middlesex",475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2100,2137.5,2100,2400,2200,2200,2200,2200,2225,2300,2397.5,2300,2100,2150,2100,2050,1995,2100,2100,2100,2175,2200,2350,2300,2300,2400,2400,2400,2400,2400,2397.5,2250,2397.5,2397.5,2397.5,2150,2300,2200,2300,2225,2250,2100,2397.5,2197.5,2395,2800,2700,2500,2500,2500,2525,2550,2500,2550,2500,2600,2600,2400
"10280","New York","NY","New York","New York",476,,,,,,,,,,,,,,,,,,3700,3675,3250,3475,3450,3487.5,3487.5,3295,3585,3500,3462.5,3400,3500,3500,3475,3525,3500,3375,3297.5,3200,3250,3250,3297.5,3200,3200,3250,3475,3495,3230,3300,3120,3400,3200,3200,3287.5,3350,3442.5,3417.5,3390,3650,3500,3430,3600,3490,3381,3323.5,3247.5,3350,3300,3260,3287,3132.5,3250,3401,3285,3370,3415,3075,3195,3197.5,3132.5,3300,3495,3402.5,3500,3550,3400,3338.5,3210,3302,3304.5,3304.5,3272.5
