"RegionName","City","State","Metro","CountyName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03"
"10025","New York","NY","New York","New York",1,750000,740000,785000,725000,732500,749000,740000,747000,750000,750000,749000,739000,785000,7e+05,779000,762500,749000,749000,749000,699950,749000,795000,822500,795000,797000,829000,825000,839000,875000,854500,837000,875000,875000,875000,875000,824000,799000,875000,820000,837500,872000,899000,949000,975000,895000,887000,925000,965000,980000,982500,975000,949000,949000,899000,975000,934450,995000,1050000,1150000,1150000,1150000,1150000,1150000,1195000,1250000,1295000,1300000,1350000,1347500,1334999.5,1310000,1432500,1450000,1495000,1490000,1549000,1519500,1549000,1592500,1500000,1470000,1399000,1450000,1395000,1395000,1395000,1410000,1490000,1450000,1395000,1300000,1300000,1285500,1395000,1425000,1495000,1475000,1272000,1195000
"60657","Chicago","IL","Chicago","Cook",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,339450,329900,335000,349900,349000,349000,349000,359450,369000,369500,369000,355000,349900,359900,361000,375000,365000,349000,344950,339000,359000,374900,369000,359000,364000,359000,360000,359945,360000,349900,350000,349900,344950,349900,349900,349900,349900,349900,389500,389000,369500,369500,370000,370000,379000,389000,394450,399900,396750,429500,446950,440000,435000,429000,440000,435000,435000,449900,449900,449900,469499.5,447000,449000,444000
"60614","Chicago","IL","Chicago","Cook",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,399400,420000,399999,399900,409000,409000,415000,4e+05,389900,433500,425000,422450,437000,450000,447000,424708,425000,409900,414900,424900,424950,426750,439000,425000,449000,464500,450000,449900,449000,439450,439900,429700,431500,446750,450000,450000,459000,469900,475000,439900,440000,447500,464750,499000,516500,524900,549950,555500,549000,559000,552000,538450,538450,519750,5e+05,503000,522450,547000,545000,599000,614900,639950,617000,579900
"10002","New York","NY","New York","New York",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1250000,1250000,1250000,1175000,1250000,1200000,1332500,1350000,1415000,1420000,1495000,1551000,1573000,1600000,1573000,1562000,1575000,1580000,1600000,1600000,1665500,1630000,1630000,1571500,1580000
"60640","Chicago","IL","Chicago","Cook",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,221000,209900,209900,219450,229900,239000,235000,238000,238944,235000,235000,229000,229000,224000,219000,230000,234999.5,230000,229900,229000,229900,224950,219000,219000,212500,209000,219000,224900,239000,240000,240000,245000,249000,249000,249900,243700,237000,223750,214900,220000,235000,239900,239000,249500,239450,230000,229900,230500,237000,229900,249000,249250,259900
"00926","San Juan","NC","Durham","Chatham",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,149900,150000,149950,150000,149900,149000,145000,147350,149900,150000,139900,137500,139900,135000,140000,136000,139900,148000,139900,148000,146500,136000,132500,130000,138990,130000,130000,130000,125500,138500,146500,145000,140000,135000,129750,125000,125000,134000,123000,105000,105000,97450,105000,106500,108000,110000,115000
"94109","San Francisco","CA","San Francisco","San Francisco",7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,996500,998000,1090000,1075000,1198500,1195000,1089000,1053500,1195000,1195000,998000,992500,995000,995000,995000,999000,1050000,996500,1096500,1150000,1160000,1099500,1099950,1124500,1014500,1080000,1099000,1098000,1199000,1198500,1178000,1049000,1072000,1047750,993500,978500,1100000
"10016","New York","NY","New York","New York",8,,,,,,,,,,,,,,,,727000,729000,734000,725000,699000,699000,709500,699000,682000,649500,745000,790000,839000,827500,799499.5,790000,765000,733776,720000,755000,749000,730276,770000,865000,849500,923500,917500,899000,899000,921000,897000,999000,988000,995000,949500,935000,982000,995000,960000,1090000,1085000,1185000,1250000,1250000,1271000,1298500,1295000,1298000,1310000,1325000,1339500,1300000,1399000,1452500,1550000,1550000,1599495,1499000,1456500,1492000,1485000,1499000,1550000,1500000,1550000,1547000,1499000,1450000,1500000,1549000,1495000,1490000,1472450,1437500,1450000,1379000,1405000,1399999,1425000,1425000,1420000,1425000,1250000,1297000
"11375","New York","NY","New York","Queens",9,279000,275000,260000,259000,259000,255000,255000,250000,255000,249999.5,255000,249999,249499.5,249000,255000,249000,255000,249000,249000,251950,255000,249999.5,239000,239000,239000,239999.5,239999,249000,249000,249000,249000,249000,249000,249900,256000,254000,249000,249777,250000,250000,255450,259000,259000,259950,262000,259000,259000,249999,249000,259000,259000,260000,263900,269000,268000,275000,278888,279000,279000,285000,3e+05,319000,325000,309000,308500,318944,319000,319000,325000,325000,348888,324950,325000,338000,339500,342500,349999.5,350000,350000,359000,359000,360999.5,374500,378944,380000,375000,369000,372000,376944,399000,397000,399000,397000,399000,416250,408888,408888,399999.5,395000
"11235","New York","NY","New York","Kings",10,,,,,,,,,,,,,,,,,,,,,,,,,,,349000,344000,292000,319000,325000,329000,324000,305000,341775,325000,349000,290000,285000,292500,298949.5,299000,299000,299000,330000,369000,388000,399000,399000,399000,396500,402000,399000,412000,429000,419500,439000,449000,429000,424000,429000,435000,479000,489000,495000,555000,579000,564375,555000,549000,549000,549000,575000,586500,582000,596000,589000,549000,575000,610000,630000,622500,619000,619000,603000,615000,603000,606500,622000,610000,610000,609000,588000,586500,569500,549000,575000,540000,539000
