"Date","RegionID","RegionName","State","Metro","County","City","SizeRank","Zhvi","MoM","QoQ","YoY","5Year","10Year","PeakMonth","PeakQuarter","PeakZHVI","PctFallFromPeak","LastTimeAtCurrZHVI"
2018-03-31,63484,"14227","NY","Buffalo","Erie","Cheektowaga",3860,139781,-0.00182808829095168,-0.00422442902531808,0.033455077778435,0.041702517560761,0.0236059425616637,"2017-12","2017-Q4",140374,-0.00422442902531808,"2017-10"
2018-03-31,75560,"40206","KY","Louisville/Jefferson County","Jefferson","Louisville",3861,199350,-0.00166764321449497,0.00938753189938024,0.0771890957231243,0.0845207381808395,0.040733930374341,"2018-02","2018-Q1",199683,-0.00166764321449497,"2018-02"
2018-03-31,71730,"32003","FL","Jacksonville","Clay","Fleming Island",3862,267355,0.0014458607553686,0.0115626619851002,0.0665616148721427,0.0633683520888277,0.00460518405730492,"2006-09","2006-Q3",297715,-0.1019767227046,"2005-10"
2018-03-31,91175,"76001","TX","Dallas-Fort Worth","Tarrant","Arlington",3863,219203,0.0110000092243264,0.0386060505555424,0.108799457747833,0.09124355239443,0.0391099648472923,"2018-03","2018-Q1",219203,0,"2018-03"
2018-03-31,74327,"37355","TN","Tullahoma","Coffee","Manchester",3864,132634,0.00722188893023397,0.0149214900064277,0.037597396501549,0.0712563053770618,0.0173023826859573,"2018-03","2018-Q1",132634,0,"2018-03"
2018-03-31,61978,"11003","NY","New York","Nassau","Elmont",3865,426314,0.00853309739370297,0.0297539106658035,0.0829470026240852,0.0747812597079196,0.00649723288423454,"2007-03","2007-Q1",439252,-0.0294546183056651,"2006-02"
2018-03-31,72771,"33708","FL","Tampa","Pinellas","Madeira Beach",3866,357265,0.011363025157749,0.0214955382033298,0.0235265131656224,0.0761710353581999,0.0190391335556461,"2006-04","2006-Q2",465474,-0.232470556894692,"2005-01"
2018-03-31,60596,"07090","NJ","New York","Union","Westfield",3867,752623,-0.0000146153376010119,-0.000938499727874902,0.100428987507603,0.0397836772487998,0.0114700264413863,"2017-12","2017-Q4",753330,-0.000938499727874902,"2017-12"
2018-03-31,65879,"19355","PA","Philadelphia","Chester","Malvern",3868,467472,0.00393436989949317,0.0183133107512008,0.0367784532335009,0.032462751686964,0.00724870898553465,"2018-03","2018-Q1",467472,0,"2018-03"
2018-03-31,70225,"28786","NC","Asheville","Haywood","Waynesville",3869,129730,0.0193850530004793,0.070803618594823,0.298455625506701,0.0491238467728918,-0.00156510603987614,"2008-04","2008-Q2",132392,-0.0201069551030274,"2008-02"
2018-03-31,74894,"38583","TN",,"White","Sparta",3870,103658,0.00821880501493002,0.024167094810892,0.0919874428502202,0.0590236730069182,0.0275827816655267,"2018-03","2018-Q1",103658,0,"2018-03"
2018-03-31,94477,"84117","UT","Salt Lake City","Salt Lake","Holladay",3871,392228,0.0120001960900673,0.0311477995688522,0.0711695178169583,0.0794173674136189,0.0196935128961571,"2018-03","2018-Q1",392228,0,"2018-03"
2018-03-31,58517,"01851","MA","Boston","Middlesex","Lowell",3872,294509,0.00687870302943278,0.0277680839777772,0.0834387921774063,0.0838721831524502,0.0219186741914617,"2018-03","2018-Q1",294509,0,"2018-03"
2018-03-31,99570,"98110","WA","Bremerton","Kitsap","Bainbridge Island",3873,813271,0.00284105271854465,0.020640693553407,0.148133246369691,0.108753430884722,0.023414744445204,"2018-03","2018-Q1",813271,0,"2018-03"
2018-03-31,93245,"80113","CO","Denver","Arapahoe","Englewood",3874,440199,0.00871918495671343,0.0342778600126877,0.0995051965601045,0.125355109282787,0.0702124628237497,"2018-03","2018-Q1",440199,0,"2018-03"
2018-03-31,94286,"83714","ID","Boise City","Ada","Garden City",3875,256118,0.0110572918517115,0.019334553848603,0.0286441807973139,0.0861067923557639,0.0133632469438882,"2018-03","2018-Q1",256118,0,"2018-03"
2018-03-31,99572,"98112","WA","Seattle","King","Seattle",3876,1237111,0.0109255144675221,0.0427734779992009,0.149416284568822,0.120419453289547,0.0535791765895606,"2018-03","2018-Q1",1237111,0,"2018-03"
2018-03-31,97915,"95003","CA","Santa Cruz","Santa Cruz","Aptos",3877,925158,0.00855764912112398,0.0213339544927155,0.0770563314857696,0.0820305884499923,0.0267446110121197,"2018-03","2018-Q1",925158,0,"2018-03"
2018-03-31,66593,"20740","MD","Washington","Prince Georges","College Park",3878,302914,0.00694423668245658,0.0169199057319538,0.0323176487828484,0.0718050327214526,-0.00877383170719037,"2006-08","2006-Q3",385470,-0.214169714893507,"2005-03"
2018-03-31,70916,"30143","GA","Atlanta","Pickens","Jasper",3879,214945,-0.0000930384016002605,0.000884729109915951,0.0733189521726538,0.0634404228500101,0.00713687354120873,"2018-01","2018-Q1",215030,-0.000395293679951635,"2018-01"
2018-03-31,67248,"22408","VA","Washington","Spotsylvania","Fredericksburg",3880,271424,0.00233019317338336,0.0203027557767561,0.0744699380868684,0.0429001844721804,0.00472356291173859,"2006-01","2006-Q1",324782,-0.164288661317438,"2004-11"
2018-03-31,58629,"02115","MA","Boston","Suffolk","Boston",3881,735155,0.00491690337608228,0.0134784898356443,0.0827774529312044,0.0879210608124001,0.0564770007816204,"2018-03","2018-Q1",735155,0,"2018-03"
2018-03-31,73353,"35160","AL","Talladega","Talladega","Talladega",3882,72710,0.00177732464419063,0.00716135913454213,0.001239328008813,0.0109518490613747,-0.00972814882684792,"2007-04","2007-Q2",85076,-0.145352390803517,"2004-06"
2018-03-31,90318,"74135","OK","Tulsa","Tulsa","Tulsa",3883,163083,-0.00333681682342372,-0.00368996927062015,0.0563533549678397,0.0425815756567578,0.0187232910334394,"2018-01","2018-Q1",163972,-0.00542165735613397,"2017-11"
2018-03-31,96784,"92284","CA","Riverside","San Bernardino","Yucca Valley",3884,183828,0.00775712257350079,0.0261809331353482,0.152064375423028,0.11009560833834,0.011417137618815,"2006-06","2006-Q2",238108,-0.227963781141331,"2005-02"
2018-03-31,84432,"60187","IL","Chicago","Du Page","Wheaton",3885,319091,0.00549239320871724,0.0149818214205057,0.0368850328199129,0.0425892273409032,0.00121939152104633,"2006-10","2006-Q4",336877,-0.0527967180899854,"2005-09"
2018-03-31,92211,"78023","TX","San Antonio","Bexar","Helotes",3886,304327,0.000358295695849687,0.00643891791785171,0.0137778947403486,0.0332847412337907,0.0136118727319676,"2018-03","2018-Q1",304327,0,"2018-03"
2018-03-31,92445,"78411","TX","Corpus Christi","Nueces","Corpus Christi",3887,130689,-0.00452457667786385,-0.00652238363474652,0.0125514259814518,0.0369440783834267,0.0127020091904715,"2018-01","2018-Q1",131959,-0.00962420145651301,"2017-12"
2018-03-31,96151,"90404","CA","Los Angeles-Long Beach-Anaheim","Los Angeles","Santa Monica",3888,972276,0.0110550151043264,0.0347787032326591,0.0993287179156674,0.0927616610076623,0.0427611729982638,"2018-03","2018-Q1",972276,0,"2018-03"
