Survey,State,6-Digit,County,Place,MSA/,PMSA,Ccity,Zip,Region,Division,Source,,Place,,1-unit,,,2-units,,,3-4 units,,,5+ units
Date,Code,ID,Code,Code,Cmsa,Code,Code,Code,Code,,,,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value
 
200001,09,205000,001,    ,5602,1160, ,06612      ,1,1,1,,Easton town,0,0,0,0,0,0,0,0,0,0,0,0
200001,09,209000,013,    ,3280,9999, ,06029      ,1,1,1,,Ellington town,11,11,1394106,0,0,0,0,0,0,0,0,0
200001,09,213000,003,    ,3280,9999, ,06082      ,1,1,1,,Enfield town,8,8,399550,0,0,0,0,0,0,0,0,0
200001,09,217000,007,    ,9999,9999, ,06426      ,1,1,1,,Essex town,3,3,654800,0,0,0,0,0,0,0,0,0
200001,09,221000,001,    ,5602,1160, ,06430      ,1,1,1,,Fairfield town,4,4,1074447,0,0,0,0,0,0,0,0,0
200001,09,225000,003,    ,3280,9999, ,06032      ,1,1,1,,Farmington town,2,2,345000,0,0,0,0,0,0,0,0,0
200001,09,229000,007,0800,9999,9999, ,06475      ,1,1,1,,Fenwick borough,0,0,0,0,0,0,0,0,0,0,0,0
200001,09,233000,011,    ,5520,9999, ,06254      ,1,1,1,,Franklin town,0,0,0,0,0,0,0,0,0,0,0,0
200001,09,237000,003,    ,3280,9999, ,06033      ,1,1,1,,Glastonbury town,7,7,1369000,0,0,0,0,0,0,0,0,0
200001,09,241000,005,    ,9999,9999, ,06756      ,1,1,1,,Goshen town,0,0,0,0,0,0,0,0,0,0,0,0
200001,09,245000,003,    ,3280,9999, ,06035      ,1,1,1,,Granby town,4,4,767855,0,0,0,0,0,0,0,0,0
200001,09,249000,001,    ,5602,8040, ,06830      ,1,1,5,,Greenwich town,5,5,3290374,1,2,190231,0,0,0,0,0,0
200001,09,253000,011,    ,5520,9999, ,06351      ,1,1,1,,Griswold town,1,1,60000,0,0,0,0,0,0,0,0,0
200001,09,257000,011,0900,9999,9999, ,06340      ,1,1,1,,Groton,0,0,0,0,0,0,0,0,0,0,0,0
200001,09,261000,011,0912,9999,9999, ,06340      ,1,1,1,,Groton Long Point borough,0,0,0,0,0,0,0,0,0,0,0,0
200001,09,265000,011,    ,5520,9999, ,06340      ,1,1,1,,Groton town,9,9,1163116,0,0,0,0,0,0,0,0,0
200001,09,269000,009,    ,5602,5480, ,06437      ,1,1,1,,Guilford town,7,7,1344000,0,0,0,0,0,0,0,0,0
200001,09,273000,007,    ,3280,9999, ,06438      ,1,1,1,,Haddam town,4,4,433835,0,0,0,0,0,0,0,0,0
200001,09,277000,009,    ,5602,5480, ,06518      ,1,1,5,,Hamden town,4,4,333075,0,0,0,0,0,0,1,50,1452771
200001,09,281000,015,    ,9999,9999, ,06247      ,1,1,5,,Hampton town,1,1,103219,0,0,0,0,0,0,0,0,0
200001,09,285000,003,0970,3280,9999,1,06103      ,1,1,5,,Hartford,3,3,192581,0,0,0,0,0,0,0,0,0
200001,09,289000,003,    ,9999,9999, ,06027      ,1,1,1,,Hartland town,0,0,0,0,0,0,0,0,0,0,0,0
200001,09,293000,005,    ,3280,9999, ,06791      ,1,1,1,,Harwinton town,0,0,0,0,0,0,0,0,0,0,0,0
200001,09,297000,013,    ,3280,9999, ,06248      ,1,1,5,,Hebron town,5,5,500880,0,0,0,0,0,0,0,0,0
200001,09,305000,005,    ,9999,9999, ,06069      ,1,1,5,,Kent town,0,0,0,0,0,0,0,0,0,0,0,0
200001,09,309000,015,    ,9999,9999, ,06239      ,1,1,1,,Killingly town,1,1,71768,0,0,0,0,0,0,0,0,0
200001,09,313000,007,    ,5602,5480, ,06417      ,1,1,1,,Killingworth town,0,0,0,0,0,0,0,0,0,0,0,0
200001,09,317000,011,    ,3280,9999, ,06249      ,1,1,1,,Lebanon town,0,0,0,0,0,0,0,0,0,0,0,0
200001,09,321000,011,    ,5520,9999, ,063390038  ,1,1,1,,Ledyard town,2,2,298000,0,0,0,0,0,0,0,0,0
200001,09,325000,011,    ,5520,9999, ,06351      ,1,1,5,,Lisbon town,1,1,86472,0,0,0,0,0,0,0,0,0
200001,09,333000,005,    ,9999,9999, ,067590488  ,1,1,1,,Litchfield town,1,1,375000,0,0,0,0,0,0,0,0,0
200001,09,337000,011,    ,9999,9999, ,06371      ,1,1,1,,Lyme town,1,1,550000,0,0,0,0,0,0,0,0,0
200001,09,341000,009,    ,5602,5480, ,06443      ,1,1,1,,Madison town,1,1,220405,0,0,0,0,0,0,0,0,0
200001,09,345000,003,    ,3280,9999, ,06040      ,1,1,1,,Manchester town,5,5,743000,0,0,0,0,0,0,0,0,0
200001,09,349000,013,    ,3280,9999, ,06268      ,1,1,5,,Mansfield town,3,3,314935,0,0,0,0,0,0,0,0,0
200001,09,353000,003,    ,3280,9999, ,06447      ,1,1,1,,Marlborough town,2,2,337092,0,0,0,0,0,0,0,0,0
200001,09,357000,009,1210,5602,5480,1,06450      ,1,1,1,,Meriden,3,3,176790,0,0,0,0,0,0,0,0,0
200001,09,361000,009,    ,5602,8880, ,067620392  ,1,1,1,,Middlebury town,0,0,0,0,0,0,0,0,0,0,0,0
200001,09,365000,007,    ,3280,9999, ,06455      ,1,1,1,,Middlefield town,1,1,100000,0,0,0,0,0,0,0,0,0
200001,09,369000,007,1250,3280,9999,1,06457      ,1,1,5,,Middletown,9,9,563095,0,0,0,0,0,0,1,13,235784
200001,09,377000,009,    ,5602,1160, ,06460      ,1,1,1,,Milford,19,19,2358000,0,0,0,0,0,0,0,0,0
200001,09,381000,001,    ,5602,1160, ,06468      ,1,1,1,,Monroe town,5,5,992000,0,0,0,0,0,0,0,0,0
200001,09,385000,011,    ,5520,9999, ,06382      ,1,1,1,,Montville town,6,6,943353,0,0,0,0,0,0,0,0,0
200001,09,389000,005,    ,9999,9999, ,06763      ,1,1,1,,Morris town,0,0,0,0,0,0,0,0,0,0,0,0
200001,09,393000,009,1370,5602,8880, ,06770      ,1,1,1,,Naugatuck borough,6,6,414508,0,0,0,0,0,0,0,0,0
200001,09,397000,003,1390,3280,9999, ,06051      ,1,1,5,,New Britain,0,0,0,0,0,0,0,0,0,0,0,0
200001,09,401000,001,    ,5602,8040, ,06840      ,1,1,1,,New Canaan town,5,5,2200000,0,0,0,0,0,0,0,0,0
200001,09,405000,001,    ,5602,1930, ,06812      ,1,1,1,,New Fairfield town,2,2,360256,0,0,0,0,0,0,0,0,0
200001,09,409000,005,    ,3280,9999, ,06057      ,1,1,1,,New Hartford town,0,0,0,0,0,0,0,0,0,0,0,0
200001,09,413000,009,1450,5602,5480,1,06510      ,1,1,1,,New Haven,2,2,101000,0,0,0,0,0,0,0,0,0
200001,09,417000,011,1480,5520,9999,1,06320      ,1,1,1,,New London,0,0,0,0,0,0,0,0,0,0,0,0
200001,09,421000,005,    ,5602,1930, ,06776      ,1,1,1,,New Milford town,5,5,859018,0,0,0,0,0,0,0,0,0
200001,09,425000,003,    ,3280,9999, ,06111      ,1,1,1,,Newington town,0,0,12000,0,0,0,0,0,0,0,0,0
200001,09,433000,001,    ,5602,1930, ,06470      ,1,1,1,,Newtown town,5,5,1066070,0,0,0,0,0,0,0,0,0
200001,09,437000,005,    ,9999,9999, ,06058      ,1,1,1,,Norfolk town,0,0,0,0,0,0,0,0,0,0,0,0
200001,09,441000,009,    ,5602,5480, ,06471      ,1,1,1,,North Branford town,1,1,142052,0,0,0,0,0,0,0,0,0
200001,09,445000,005,    ,9999,9999, ,06018      ,1,1,5,,North Canaan town,0,0,0,0,0,0,0,0,0,0,0,0
200001,09,449000,009,    ,5602,5480, ,06473      ,1,1,1,,North Haven town,2,2,307000,0,0,0,0,0,0,0,0,0
200001,09,453000,011,    ,5520,9999, ,06359      ,1,1,1,,North Stonington town,1,1,78000,0,0,0,0,0,0,0,0,0
200001,09,457000,001,1630,5602,8040,1,068565125  ,1,1,1,,Norwalk,9,9,1256000,1,2,83500,0,0,0,0,0,0
200001,09,461000,011,1650,5520,9999,1,06360      ,1,1,1,,Norwich,0,0,0,0,0,0,0,0,0,0,0,0
200001,09,469000,011,    ,5520,9999, ,06371      ,1,1,1,,Old Lyme town,3,3,563656,0,0,0,0,0,0,0,0,0
200001,09,473000,007,    ,5520,9999, ,06475      ,1,1,5,,Old Saybrook town,2,2,300616,0,0,0,0,0,0,0,0,0
200001,09,477000,009,    ,5602,5480, ,06477      ,1,1,5,,Orange town,1,1,167046,0,0,0,0,0,0,0,0,0
200001,09,481000,009,    ,5602,1160, ,06478      ,1,1,1,,Oxford town,5,5,630000,0,0,0,0,0,0,0,0,0
200001,09,485000,015,    ,5520,9999, ,06374      ,1,1,1,,Plainfield town,4,4,210000,0,0,0,0,0,0,0,0,0
200001,09,489000,003,    ,3280,9999, ,06062      ,1,1,5,,Plainville town,3,3,215767,0,0,0,0,0,0,0,0,0
200001,09,493000,005,    ,3280,9999, ,06786      ,1,1,1,,Plymouth town,1,1,150000,0,0,0,0,0,0,0,0,0
200001,09,497000,015,    ,9999,9999, ,06259      ,1,1,1,,Pomfret town,0,0,0,0,0,0,0,0,0,0,0,0
200001,09,501000,007,    ,3280,9999, ,06480      ,1,1,1,,Portland town,2,2,230000,0,0,0,0,0,0,0,0,0
200001,09,505000,011,    ,5520,9999, ,06360      ,1,1,1,,Preston town,1,1,70000,0,0,0,0,0,0,0,0,0
200001,09,509000,009,    ,5602,8880, ,06712      ,1,1,5,,Prospect town,3,3,334961,0,0,0,0,0,0,0,0,0
