StateCodeFIPS,State
6,CA
15,HI
13,GA
19,IA
29,MO
8,CO
39,OH
28,MS
23,ME
12,FL
41,OR
56,WY
30,MT
36,NY
34,NJ
2,AK
25,MA
10,DE
45,SC
48,TX
38,ND
40,OK
47,TN
22,LA
16,ID
31,NE
26,MI
1,AL
5,AR
9,CT
54,WV
27,MN
37,NC
20,KS
33,NH
24,MD
50,VT
53,WA
46,SD
51,VA
32,NV
44,RI
35,NM
42,PA
11,DC
17,IL
49,UT
4,AZ
18,IN
21,KY
55,WI
