c_id,zri_allhomes,zripersqft_allhomes,year,rv_id
19,891,0.696,2011,183
19,891,0.682666667,2011,184
19,891,0.610166667,2011,185
19,891,0.660333333,2011,186
19,896,0.609333333,2012,187
19,896,0.705833333,2012,188
19,896,0.650333333,2012,189
19,896,0.664166667,2012,190
19,832,0.627166667,2013,191
19,832,0.6255,2013,192
19,832,0.663833333,2013,193
19,832,0.726666667,2013,194
19,917,0.673,2014,195
19,917,0.653666667,2014,196
19,917,0.735666667,2014,197
19,917,0.655833333,2014,198
19,910,0.694,2015,199
19,910,0.742333333,2015,200
19,910,0.646833333,2015,201
19,910,0.680833333,2015,202
19,916,0.646833333,2016,203
19,916,0.762833333,2016,204
19,916,0.7065,2016,205
19,916,0.675,2016,206
19,920,0.747833333,2017,207
19,920,0.6765,2017,208
19,920,0.6935,2017,209
19,920,0.714,2017,210
20,1212,0.933,2010,211
20,1176,0.893833333,2011,212
20,1165,0.8675,2012,213
20,1181,0.888166667,2013,214
20,1202,0.903333333,2014,215
20,1289,0.975666667,2015,216
20,1313,1.007833333,2016,217
20,1329,1.029,2017,218
22,1044,1.008333333,2013,219
22,1044,0.838833333,2013,220
22,1103,0.9935,2014,221
22,1103,0.897166667,2014,222
22,1233,0.959666667,2015,223
22,1233,1.072833333,2015,224
22,1242,1.106833333,2016,225
22,1242,0.959,2016,226
22,1169,0.95,2017,227
22,1169,1.127666667,2017,228
23,934,0.786166667,2012,229
23,942,0.771666667,2013,230
23,910,0.773,2014,231
23,1128,0.941333333,2015,232
23,1106,0.9415,2016,233
23,1186,1.011166667,2017,234
24,954,0.594,2010,235
24,943,0.603166667,2011,236
24,945,0.624166667,2012,237
24,991,0.6355,2013,238
24,995,0.6195,2014,239
24,1012,0.644333333,2015,240
24,1009,0.643333333,2016,241
24,1058,0.659833333,2017,242
25,1104,0.792166667,2013,243
25,1122,0.806333333,2015,244
25,1038,0.898,2010,245
25,1122,0.760166667,2015,246
25,1088,0.6345,2011,247
25,1038,0.613,2010,248
25,1104,1.012,2013,249
25,1155,0.8585,2016,250
25,1155,0.704166667,2016,251
25,1104,0.816666667,2013,252
25,1155,0.840166667,2016,253
25,1088,0.787666667,2011,254
25,1155,0.778666667,2016,255
25,1104,0.674333333,2013,256
25,1155,0.823166667,2016,257
25,1091,0.755,2012,258
25,1155,1.290833333,2016,259
25,1038,0.722,2010,260
25,1104,0.547833333,2013,261
25,1155,0.6145,2016,262
25,1172,1.324,2017,263
25,1080,0.7575,2014,264
25,1091,0.792666667,2012,265
25,1172,0.768166667,2017,266
25,1172,0.603833333,2017,267
25,1080,0.7825,2014,268
25,1038,0.792,2010,269
25,1172,0.858666667,2017,270
25,1091,0.956666667,2012,271
25,1172,0.829833333,2017,272
25,1080,1.089666667,2014,273
25,1172,0.828833333,2017,274
25,1172,0.691166667,2017,275
25,1080,0.801,2014,276
25,1091,0.656166667,2012,277
25,1088,0.921833333,2011,278
25,1080,0.793,2014,279
25,1091,0.771,2012,280
25,1080,0.594166667,2014,281
25,1080,0.6715,2014,282
25,1122,0.846166667,2015,283
25,1088,0.781166667,2011,284
25,1122,0.806833333,2015,285
25,1104,0.76,2013,286
25,1038,0.763,2010,287
25,1122,1.220333333,2015,288
25,1104,0.794833333,2013,289
25,1122,0.625833333,2015,290
25,1088,0.749833333,2011,291
25,1122,0.701833333,2015,292
26,1800,1.13,2010,293
26,1800,0.999,2010,294
26,1809,1.125333333,2011,295
26,1809,0.968333333,2011,296
26,1748,1.082666667,2012,297
26,1748,0.9895,2012,298
26,1799,1.001,2013,299
26,1799,1.125666667,2013,300
26,1761,1.0005,2014,301
26,1761,1.1295,2014,302
26,1926,1.123333333,2015,303
26,1926,1.244,2015,304
26,2072,1.325333333,2016,305
26,2072,1.1725,2016,306
26,2179,1.203,2017,307
26,2179,1.363166667,2017,308
27,1182,0.806333333,2015,309
27,1182,0.760166667,2015,310
27,1202,1.012,2013,311
27,1191,0.8585,2016,312
27,1191,0.704166667,2016,313
27,1202,0.816666667,2013,314
27,1191,0.840166667,2016,315
27,1191,0.778666667,2016,316
27,1202,0.674333333,2013,317
27,1191,0.823166667,2016,318
27,1191,1.290833333,2016,319
27,1202,0.547833333,2013,320
27,1191,0.6145,2016,321
27,1202,0.7575,2014,322
27,1155,1.324,2017,323
27,1155,0.768166667,2017,324
27,1202,0.7825,2014,325
27,1155,0.603833333,2017,326
27,1155,0.858666667,2017,327
27,1202,1.089666667,2014,328
27,1155,0.829833333,2017,329
27,1155,0.828833333,2017,330
27,1202,0.801,2014,331
27,1155,0.691166667,2017,332
27,1202,0.793,2014,333
27,1202,0.594166667,2014,334
27,1202,0.6715,2014,335
27,1182,0.846166667,2015,336
27,1202,0.76,2013,337
27,1182,0.806833333,2015,338
27,1182,1.220333333,2015,339
27,1202,0.794833333,2013,340
27,1182,0.625833333,2015,341
27,1182,0.701833333,2015,342
27,1202,0.792166667,2013,343
28,2076,1.405,2010,344
28,2087,1.4235,2011,345
28,2112,1.461166667,2012,346
28,2195,1.513333333,2013,347
28,2419,1.675166667,2014,348
28,2778,1.9325,2015,349
28,3050,2.108166667,2016,350
28,3088,2.157833333,2017,351
29,2259,0.726,2010,352
29,2259,1.373,2010,353
29,2266,0.7345,2011,354
29,2266,1.389333333,2011,355
29,2313,0.765833333,2012,356
29,2313,1.400166667,2012,357
29,2341,1.438833333,2013,358
29,2341,0.783333333,2013,359
29,2392,0.7945,2014,360
29,2392,1.4445,2014,361
29,2471,0.829666667,2015,362
29,2471,1.493833333,2015,363
29,2455,0.816333333,2016,364
29,2455,1.528,2016,365
29,2429,0.812166667,2017,366
29,2429,1.5125,2017,367
30,2212,1.899,2010,368
30,2327,1.963166667,2011,369
30,2374,1.992833333,2012,370
30,2457,2.035833333,2013,371
30,2468,2.037666667,2014,372
30,2506,2.137833333,2015,373
30,2573,2.215666667,2016,374
30,2659,2.271166667,2017,375
33,892,0.637166667,2012,376
33,819,0.595,2013,377
33,873,0.636666667,2014,378
33,854,0.623333333,2015,379
33,904,0.661166667,2016,380
33,916,0.686333333,2017,381
34,1211,1.035,2010,382
34,1211,0.63,2010,383
34,1211,0.805,2010,384
34,1211,0.713,2010,385
34,1211,0.838,2010,386
34,1211,0.653,2010,387
34,1230,0.8705,2011,388
34,1230,0.709666667,2011,389
34,1230,0.580166667,2011,390
34,1230,0.816333333,2011,391
34,1230,1.044333333,2011,392
34,1230,0.651166667,2011,393
34,1187,0.632,2012,394
34,1187,0.675166667,2012,395
34,1187,0.805833333,2012,396
34,1187,0.881,2012,397
34,1187,1.057666667,2012,398
34,1187,0.56,2012,399
34,1361,0.810833333,2013,400
34,1361,0.649333333,2013,401
34,1361,0.5705,2013,402
34,1361,0.709333333,2013,403
34,1361,1.0635,2013,404
34,1361,0.966666667,2013,405
34,1361,0.7935,2014,406
34,1361,0.658833333,2014,407
34,1361,0.5965,2014,408
34,1361,0.967333333,2014,409
34,1361,1.063333333,2014,410
34,1361,0.709,2014,411
34,1378,0.736166667,2015,412
34,1378,1.081,2015,413
34,1378,0.7585,2015,414
34,1378,0.596833333,2015,415
34,1378,0.685833333,2015,416
34,1378,0.945666667,2015,417
34,1245,0.900333333,2016,418
34,1245,0.689833333,2016,419
34,1245,0.617166667,2016,420
34,1245,0.742,2016,421
34,1245,1.0925,2016,422
34,1245,0.789833333,2016,423
34,1283,0.9,2017,424
34,1283,1.0935,2017,425
34,1283,0.680833333,2017,426
34,1283,0.64,2017,427
34,1283,0.69,2017,428
34,1283,0.770833333,2017,429
35,803,0.625,2010,430
35,909,0.675,2011,431
35,839,0.6325,2012,432
35,818,0.639,2013,433
35,809,0.620333333,2014,434
35,853,0.650666667,2015,435
35,841,0.658333333,2016,436
35,874,0.6795,2017,437
36,1818,1.22,2010,438
36,1803,1.237666667,2011,439
36,1816,1.257833333,2012,440
36,1860,1.278166667,2013,441
36,1929,1.306833333,2014,442
36,1943,1.3255,2015,443
36,2007,1.340833333,2016,444
36,2006,1.338666667,2017,445
37,1212,0.723833333,2012,446
37,1209,0.699833333,2013,447
37,1110,0.650666667,2014,448
37,1328,0.8145,2015,449
37,1515,0.944333333,2016,450
37,1530,0.925,2017,451
38,1450,0.856,2010,452
38,1473,0.872666667,2011,453
38,1549,0.908333333,2012,454
38,1558,0.938,2013,455
38,1564,0.9495,2014,456
38,1655,0.9755,2015,457
38,1691,0.993833333,2016,458
38,1703,1.024666667,2017,459
39,1470,0.883666667,2013,460
39,1470,0.812666667,2013,461
39,1470,0.640333333,2013,462
39,1470,0.500833333,2013,463
39,1473,0.5305,2014,464
39,1473,0.800166667,2014,465
39,1473,0.653166667,2014,466
39,1473,0.877,2014,467
39,1620,0.674333333,2015,468
39,1620,0.959,2015,469
39,1620,0.551,2015,470
39,1620,0.8515,2015,471
39,1732,0.551666667,2016,472
39,1732,0.910833333,2016,473
39,1732,0.702666667,2016,474
39,1732,1.020666667,2016,475
39,1860,1.064333333,2017,476
39,1860,0.916333333,2017,477
39,1860,0.547166667,2017,478
39,1860,0.715666667,2017,479
40,1124,0.658,2010,480
40,1124,0.612,2010,481
40,1054,0.622,2011,482
40,1054,0.634833333,2011,483
40,1067,0.636333333,2012,484
40,1067,0.616833333,2012,485
40,1204,0.6875,2013,486
40,1204,0.577,2013,487
40,1256,0.540166667,2014,488
40,1256,0.714666667,2014,489
40,1331,0.607666667,2015,490
40,1331,0.788,2015,491
40,1404,0.798333333,2016,492
40,1404,0.617166667,2016,493
40,1412,0.814666667,2017,494
40,1412,0.615166667,2017,495
41,980,0.666,2015,496
41,1030,0.681166667,2016,497
41,1030,0.653333333,2016,498
41,1068,0.6505,2017,499
41,1068,0.699666667,2017,500
41,949,0.592,2010,501
41,949,0.641,2010,502
41,920,0.6,2011,503
41,920,0.631833333,2011,504
41,933,0.6105,2012,505
41,933,0.608,2012,506
41,931,0.620666667,2013,507
41,931,0.622333333,2013,508
41,936,0.621333333,2014,509
41,936,0.632833333,2014,510
41,980,0.650666667,2015,511
42,1099,0.718,2010,512
42,1099,0.686,2010,513
42,1132,0.733333333,2011,514
42,1132,0.705833333,2011,515
42,1173,0.742333333,2012,516
42,1173,0.720166667,2012,517
42,1178,0.775166667,2013,518
42,1178,0.727666667,2013,519
42,1194,0.730833333,2014,520
42,1194,0.801833333,2014,521
42,1200,0.843,2015,522
42,1200,0.747666667,2015,523
42,1204,0.8725,2016,524
42,1204,0.756333333,2016,525
42,1215,0.899666667,2017,526
42,1215,0.7605,2017,527
43,1535,1.073,2010,528
43,1567,1.091833333,2011,529
43,1547,1.090833333,2012,530
43,1526,1.092666667,2013,531
43,1578,1.109333333,2014,532
43,1633,1.140166667,2015,533
43,1654,1.1525,2016,534
43,1651,1.147833333,2017,535
45,1110,0.682,2010,536
45,1134,0.699166667,2011,537
45,1138,0.71,2012,538
45,1168,0.7265,2013,539
